evolution$generation,densityConf,nwDiameter,meanPathLength,meanBwCentrality,meanClosenessCentrality,meanRelativeSpeed,nwLength,evolution$samples,nwDiameter,meanBwCentrality,nwSize,replication,densityConf,nwLength,meanPathLength,meanRelativeSpeed,meanClosenessCentrality
2500,23,1.6143391258172552,0.6850160207613545,0.10117430673457839,0.022048534288506665,0.6202286049426805,451.4664317058231,17,"[1.5167446104474587,1.4055153292629747,1.3904987049443491,1.6939009676850711,1.8999407906737698,1.9815280771167199,1.4916911634135663,1.6143391258172552,1.4878095280642352,1.8210259810304883,1.758703216649465,1.6435095108821163,1.7208625602248577,1.4761935755450555,1.360056077105461,1.7309783719211589,1.2686329190058137]","[0.10205847953216375,0.10644918080324778,0.09289935364727608,0.11273088381330684,0.11816374269005847,0.11210681571184598,0.09832799389778794,0.10312625826862237,0.09137122807017545,0.11172342621259031,0.10117430673457839,0.09208701754385964,0.10631578947368421,0.0840500475996192,0.09583915541065051,0.09286842105263159,0.07914931324767391]","[113.0,115.0,106.0,102.0,113.0,106.0,108.0,113.0,117.0,112.0,114.0,119.0,112.0,120.0,110.0,112.0,111.0]","[1580004526,-1718574447,-419610314,787980927,523083132,1108306194,-504726877,1157439770,-1041342235,1724414581,1218175473,-654005911,583123824,-1402475055,748559759,-1204305713,1939530634]","[23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23]","[452.0423414564382,433.8818690681564,445.82354388445043,418.0041289409363,458.6593251069,445.15181054487124,415.3375003736145,442.5085599710822,478.1200023153227,460.81349713578646,451.4664317058231,456.6886342295674,437.61710427660336,497.4369242032634,401.5249036429996,501.432427109912,476.1492407211798]","[0.7032850678090795,0.6853510426953356,0.6794049971438926,0.644317135679488,0.7897135275518535,0.7715038170873731,0.6126867412072705,0.6850160207613545,0.6380955480294257,0.7644462558855124,0.7101969113288197,0.6712959787287427,0.7491549158376483,0.625509140927417,0.6703537014951844,0.7684526822489797,0.5859813500105606]","[0.6066832480339099,0.6210500054470287,0.6221211118338633,0.6379518911847212,0.5767260032195577,0.5773873765517101,0.6602471802721068,0.6106430733575937,0.6520184677952401,0.5712508997971244,0.6189499468668505,0.6260079788054326,0.5858925458737417,0.6431708442091374,0.6202286049426805,0.5787605548700517,0.6904633852539596]","[0.022048534288506665,0.021486455040710496,0.024286671419413965,0.02558432237868431,0.02141763297023764,0.021921901301297016,0.027895929601505897,0.022950899076682796,0.02172884532745535,0.022397543695657007,0.022848401225349674,0.02115425437933945,0.0215883077821061,0.021406489972822546,0.022531171195211964,0.019530176994361853,0.02650640112970242]"
2500,5,1.5047463034521749,0.6132973207571625,0.08462138251611936,0.0266562448234306,0.6580328989228434,444.9311253993059,1,"[1.5047463034521749]","[0.08462138251611936]","[109.0]","[535822047]","[5]","[444.9311253993059]","[0.6132973207571625]","[0.6580328989228434]","[0.0266562448234306]"
2500,4,1.627037832734882,0.7024184796860014,0.09453473218787573,0.024727676109542428,0.6299472633159845,453.97153277384734,30,"[1.476912384308127,1.365640780360792,1.7193597771845837,1.8047977424565416,1.641789644509709,1.301967905027346,1.8571419322884226,1.6154563284266314,2.092263302120049,1.6511881628721174,1.5782650877850832,1.6235305098960484,1.322812930677428,1.7303576174559958,1.511590573845665,1.850672473461839,1.635846436255044,1.767124852116872,1.5740690571751452,1.339442576736767,1.7213672008954173,1.825216086286512,1.3997564444500625,1.3604559878859674,1.8096480311277021,1.91075013133104,1.6305451555737154,1.6127812283418856,1.4383565251302262,1.465404238269731]","[0.07539473684210526,0.0833798170640276,0.0891544434857636,0.10898738073253308,0.08344899285250162,0.08769530664267507,0.11407234901412824,0.0931578947368421,0.10747826086956522,0.11148496240601503,0.10140350877192983,0.09546469479483834,0.08502923976608187,0.08924350877192982,0.08754693751923669,0.10181959323086477,0.07631457955232909,0.08544427615802096,0.0947933392804044,0.09427612509534707,0.11003748687959214,0.08194331983805668,0.10207706766917292,0.08774089068825912,0.09648157089972638,0.10474481658692185,0.10124375980601912,0.10363095238095238,0.09039049235993209,0.10018843404808316]","[131.0,108.0,113.0,108.0,121.0,108.0,105.0,102.0,107.0,107.0,107.0,111.0,113.0,115.0,107.0,107.0,127.0,131.0,109.0,107.0,112.0,116.0,106.0,121.0,103.0,127.0,117.0,108.0,115.0,103.0]","[921538434,92070502,-1256504187,28834575,1457901341,1759472573,-1144129028,-784725695,807633072,2077272300,915778108,1854153495,-139747847,-1328785344,208019754,706777138,-2103496822,-11817971,-1548687239,719791192,-1050855064,1200405654,-434631425,-277804493,-1738546759,1637980471,-1784977403,-896376256,-1260625856,305412953]","[4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4]","[507.77908291499085,478.1489239855642,452.9955585846648,422.2795484778435,483.745611389774,456.53398750116753,419.0147048445834,412.18201515191083,471.6452190345892,407.51062740969337,438.7234973470293,451.4895504418939,470.14913939863,472.09859210822594,475.2215910407709,440.47489684950153,467.33860223153266,492.5992968053942,460.76993200675076,428.8422504235191,456.7027739035732,484.6102685659621,428.29940993609074,467.9600083235646,440.8007713131351,453.13996038612765,454.80310516156703,437.1237167199421,430.682780925505,423.1469401294306]","[0.6770639944488082,0.6616792896766301,0.6622752377906143,0.7610492504087076,0.6414977309402571,0.650545513974218,0.7050526188816663,0.7045595758953139,0.8424225301471263,0.7091320454646158,0.7592269249501933,0.7056588850566443,0.6337640186093999,0.7491415896877328,0.706703835587834,0.8237383222261413,0.624542609018234,0.7353178134315514,0.7427331258156912,0.6633236290068889,0.7683069434885349,0.6946597576892196,0.6793154556289308,0.6618681430560681,0.6739634689492847,0.7374445314143196,0.7186354292721614,0.6899544310617158,0.5984019704315456,0.7002773834766888]","[0.638537164729164,0.6575964976808418,0.6614728250289321,0.5746721596400881,0.6922108207320015,0.6596411833712694,0.6293606391325611,0.6221952107846441,0.5750305118713251,0.6422840625761852,0.59408942301469,0.6243181487037502,0.6495334706743168,0.6258847204771353,0.5991264274196396,0.5815551778874548,0.6785766377246253,0.6065204538949266,0.61163595870146,0.6517036474429523,0.5905017382932847,0.6398065508905177,0.629180052283896,0.6423218415137332,0.6427603322529172,0.6206422010248719,0.6210503971712215,0.6483213553929165,0.6869225947553066,0.6305338874994079]","[0.020432820877742782,0.02671636276324425,0.02515406647012155,0.023101882679373013,0.026064325067825658,0.026846539985574035,0.025215320634351134,0.024999247182829122,0.02388891747952515,0.03447414299992837,0.02358241501805391,0.027001847378822007,0.024456105036255733,0.022476909241117726,0.02331180116942115,0.02251949125895411,0.025351493523022007,0.019858781949368094,0.023811712393174634,0.02656789920917896,0.021127695114512113,0.024134879544932396,0.025112297447949898,0.023074787569784695,0.028293663089164197,0.03140625479986181,0.02093493992135022,0.02319951475774929,0.02555549918907528,0.025385982306959685]"
2500,19,1.4760203519333595,0.6096234367219024,0.09702788157516529,0.02930840323938934,0.6396945828687238,379.5194823376704,1,"[1.4760203519333595]","[0.09702788157516529]","[101.0]","[373063905]","[19]","[379.5194823376704]","[0.6096234367219024]","[0.6396945828687238]","[0.02930840323938934]"
2500,48,1.8244005779497325,0.7070294763078399,0.10116959064327485,0.025242787036793585,0.6001530077068783,409.78154032626264,1,"[1.8244005779497325]","[0.10116959064327485]","[111.0]","[-283908665]","[48]","[409.78154032626264]","[0.7070294763078399]","[0.6001530077068783]","[0.025242787036793585]"
2500,35,1.3912641610647971,0.6202520194343533,0.08033396025514722,0.02447423476516901,0.646727723307711,466.1146998425265,2,"[1.2146775771984075,1.5678507449311867]","[0.07554739562083503,0.08512052488945943]","[116.0,117.0]","[-1343106629,41238745]","[35,35]","[486.8262806667201,445.40311901833286]","[0.5756912281234934,0.664812810745213]","[0.677499055090353,0.615956391525069]","[0.025805087420285464,0.023143382110052558]"
2500,50,1.5276531556303177,0.6568806610387831,0.0944893483709273,0.023622250127814375,0.6235765540262399,448.2171312338244,57,"[1.8074605899016596,1.7309398016292485,1.7056637783863589,1.7432293220082125,1.3789407446876538,2.1670612090757615,1.5459927102951616,1.3622155200464054,1.6383218443312415,1.4214435745040892,1.888612316828181,1.3430976478373242,1.5105013868180224,1.3101905419888675,1.6401968773141933,1.3499386831555593,1.5127565658518398,1.6931029160748143,1.9230295575657552,1.64149473053241,1.5276531556303177,1.5309098232362837,1.453648868552791,1.5288913609388506,1.7058079918366522,1.9765500727557557,1.3503807973194912,1.4863774274675505,1.2649698317463254,1.5366931739708394,1.9196562383536981,1.3208711463276699,1.351699657689714,1.2525644592670435,1.3392617441152024,1.3740122418094352,1.5764438277193316,1.3204428241134816,1.6085509907308273,1.3837988960277385,1.2901262179916992,1.4166349904120759,1.4395224768903185,1.1782187034861675,1.606324878872463,1.3893455786359585,1.4247287239373123,1.1992673445590882,1.5701471904260726,1.576137015609901,1.5951088242562117,1.6138678981270294,1.4773341236378774,1.6387631108494058,1.3057654494146052,1.8010177760237072,1.686688661439306]","[0.10528969482529854,0.10610169491525423,0.09572349677612836,0.11290617848970252,0.08945964912280702,0.12493195605837022,0.09838719606032625,0.0854102999434069,0.09686757215619694,0.10198086124401913,0.11485672514619882,0.09047029338051009,0.09135054617676266,0.0909217960154624,0.08673569168823698,0.09506595947232423,0.10081140350877194,0.09109970047068891,0.10139411027568922,0.09712660028449503,0.10283253588516746,0.09381470204436712,0.09377819548872181,0.098380991849703,0.09511849799938442,0.09664777327935223,0.08807017543859649,0.09573050272740675,0.08907857879994102,0.1073133246338988,0.10583732057416267,0.09225523486134692,0.0944893483709273,0.0793590274899848,0.0865518341307815,0.09171052631578948,0.09711719298245614,0.09654221022642075,0.09161943319838058,0.09078947368421053,0.09198380566801619,0.09465921440770067,0.08660105548423905,0.07728618421052631,0.10795637743006165,0.08247859649122807,0.09830409356725146,0.07988740507986383,0.09009916094584287,0.09306190003310164,0.09518928901200369,0.11251461988304094,0.0907800269905533,0.10433811802232855,0.08593902789761289,0.08517269736842105,0.08951639969488939]","[110.0,110.0,110.0,111.0,116.0,104.0,107.0,112.0,116.0,105.0,114.0,112.0,101.0,113.0,115.0,116.0,118.0,113.0,107.0,104.0,107.0,112.0,108.0,117.0,105.0,116.0,109.0,114.0,114.0,116.0,113.0,115.0,107.0,115.0,103.0,112.0,114.0,111.0,116.0,113.0,109.0,107.0,114.0,113.0,104.0,115.0,110.0,119.0,104.0,101.0,110.0,105.0,120.0,115.0,113.0,120.0,108.0]","[-1033875355,-1568603549,-520064096,-1445505702,2055411391,1806957110,2048236020,-1744623993,-619921512,668453925,-1630465781,1892200194,-560742651,-2095360601,-1370203867,422021659,1261811539,-489740172,80420502,375638546,1570763094,-1025178136,-585273277,-900242041,455829316,-642702781,-39403067,1821690586,-1850217549,1851498520,-270079295,-935699291,1339626011,-1426079901,220834430,-1791069387,-1362789764,-173081216,-1041626522,-1014580848,642622620,-493798303,-1467240258,1705640924,170075530,1451320123,-1590493500,1513052636,-453242935,1534510833,1356839225,1345340820,-1474810943,851041187,1423423557,460961447,1865825372]","[50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50]","[463.1902463492307,440.14774415260354,444.95216499881013,460.30162184861354,444.96609963946315,409.6051299434988,426.39739585380505,499.6866008751187,443.8132988691656,425.09340492980067,460.5208251257247,430.19184898961396,417.1412411079331,438.65152947392033,478.1969468729319,457.8144897170144,495.068735583253,447.45303778072144,448.6761803350115,443.4793224911451,418.8296798718962,429.4746717395749,427.09715938709223,464.6330009057825,450.86356496011354,481.4872723640263,412.4029431391642,439.13462235268275,448.6626901919186,473.0233781866821,446.11384634949485,467.8581052708725,428.46316822637027,484.8573816454335,475.73751173303185,459.4254691549294,449.64553099893396,431.02742277156466,503.83232811445924,447.18093659221023,448.2171312338244,423.32089165980534,483.9448689521646,448.6090414620178,395.7730361556319,443.51402207735674,448.8434277098928,484.6850495612175,498.2820470448609,449.9272867094457,431.42160401968925,435.75426022767925,464.6520632837804,438.41502180367496,475.2573981374239,453.9927963357324,441.87282570413424]","[0.7639723653893069,0.7460222620068852,0.677705564935645,0.7504255555947992,0.6488872061438459,0.8119542053923642,0.6755698221322868,0.6393835898458103,0.7066291985451038,0.661833228129264,0.7322798433206109,0.6095228576915169,0.6779717043423893,0.6415351972650895,0.6896784538371883,0.6491510926955817,0.6919181445880306,0.6892463361239228,0.7395940811437445,0.6527464071004769,0.6477164377829399,0.6193731824519539,0.6661549636819066,0.767261015012066,0.6568806610387831,0.8634925821196128,0.5861151404399148,0.6734730564905951,0.6406644361294509,0.7610772444505156,0.7937936373139137,0.6426218181401937,0.6350566317699056,0.5793427796104805,0.6215974153404135,0.6393423818612598,0.6987664929439271,0.640455269563455,0.7027125308439359,0.6815561731380547,0.6335967415614847,0.6110405127687534,0.654487610921,0.5736637891778831,0.6621380661884647,0.5854936900444846,0.6580280603604455,0.5696432191921507,0.626732274591702,0.6933275278431698,0.689569388588634,0.7391041140493553,0.6523316493248054,0.6365330963562251,0.6499896947693417,0.6493019195221369,0.6471069308179869]","[0.5925428052630932,0.58778884364175,0.6141331492513203,0.5657068825776976,0.6149448400511079,0.5610152578770976,0.6162749646479894,0.6391642031521814,0.6028221851056598,0.6290036294558331,0.6056336445585956,0.6434900713399332,0.6348837005045008,0.6180109523276831,0.6161777882237569,0.6448943241700145,0.6279151797641324,0.6055421647434281,0.5906828028406712,0.625750496875161,0.6233960837449982,0.6140691368841861,0.6201318869761003,0.5778411499889655,0.623232150530219,0.5532222786490453,0.6700102583182487,0.5967776008397331,0.6471645258470865,0.5958058837842838,0.5652952861728855,0.6418785893716411,0.6365847702832867,0.7079925459343599,0.6475489899450505,0.6278559025686337,0.6235765540262399,0.6304229241512487,0.6221359126400027,0.5849182383044454,0.6476683975684272,0.6639480438915093,0.6433746300088435,0.6686754281010266,0.6143025581134659,0.6742501496351971,0.6330526602517499,0.6771013904540645,0.6362165390366037,0.6264671036105303,0.6036492747311016,0.568992770042555,0.6313300363489915,0.6215089826545237,0.6311490905220406,0.6387964196424151,0.6359638908305745]","[0.02338546999002155,0.02220924573495366,0.023622250127814375,0.020675697976092422,0.02263525006826978,0.021845325608574318,0.025058132752575138,0.024871754197743626,0.022202921280875042,0.024544566236158808,0.02168448783089302,0.02502410612556642,0.025269131827915164,0.022000340577417513,0.021341345116705154,0.025043591873409498,0.020371715081401127,0.02366995042217274,0.02215074128079994,0.025781894890442913,0.024542453446820503,0.024879138182702494,0.0226919213264672,0.02054396634589299,0.025219224351581287,0.02232794238440069,0.025864174821054967,0.020874014196238553,0.0213862505480931,0.01982901235953093,0.02250498831976101,0.0238021927458132,0.023849049150914615,0.024843381405498903,0.025066521400127533,0.024491941917268167,0.024881920419043038,0.023244857929340182,0.023884333410250917,0.02326460326596175,0.02423583575887523,0.026239467975613877,0.025028523556988647,0.02761930425270347,0.027380323840287907,0.025524783544492887,0.022066269199879723,0.024486789614273627,0.02633986713464931,0.023434129266669542,0.021609500214215763,0.02353364626400196,0.021873563906764707,0.02317541862107428,0.023537983753066233,0.02178890828483322,0.02409481223398794]"
2500,7,1.5566911834043506,0.6879284619562456,0.10204779189352693,0.029076847458114428,0.6198257335641565,374.5388015191244,9,"[1.1185639567792773,2.1916887272358565,1.5035879733481081,1.3830972057674602,1.4598302829212824,1.9418163598224862,1.5566911834043506,2.0584396405985443,1.8327003252957628]","[0.09910559207856506,0.13036682615629985,0.10204779189352693,0.09526471044868809,0.09478741899794532,0.10622966507177033,0.09555555555555555,0.12721148251970169,0.12699373812971285]","[105.0,104.0,108.0,106.0,105.0,104.0,105.0,105.0,105.0]","[1296532829,-375349077,2116128520,-2073827945,802680613,928807476,-2105048536,-914168195,1594701288]","[7,7,7,7,7,7,7,7,7]","[339.6068758273008,374.5388015191244,409.4374372569978,388.8678462221249,363.96063314594846,353.33839934543175,381.42195017472295,379.2143566165431,347.20802754438233]","[0.5541708684384634,0.9063078465141019,0.6831564817275416,0.6147572890024168,0.6148239556210362,0.7074581936356815,0.6879284619562456,0.8835425001760836,0.694506329650766]","[0.6865780461026665,0.5461106029715695,0.6377592975276062,0.6536126453270945,0.6586803716100975,0.5963335103409763,0.6198257335641565,0.5348936209444243,0.6095143669294755]","[0.0340856691225882,0.02793415062571103,0.029550505501782287,0.029344642409061334,0.03130889020672245,0.02896353371230447,0.029076847458114428,0.02720018561181052,0.02711469279104441]"
2500,14,1.3569984227019436,0.6259539962879002,0.09461317227494967,0.026047692317029567,0.6354253457510074,423.8350030625474,5,"[1.2519095635028825,1.545070850437573,1.3569984227019436,1.2597567396398102,1.7566967253792494]","[0.09140350877192982,0.09461317227494967,0.09382816014394962,0.1003597977995837,0.1094235588972431]","[110.0,112.0,111.0,111.0,108.0]","[-189914536,723969399,-1305862139,2037699961,79611715]","[14,14,14,14,14]","[445.6403093332913,396.6144927088053,423.8350030625474,448.46532203921316,387.19598046946095]","[0.608278420019327,0.6259539962879002,0.6032516350632479,0.6274095838661312,0.6978812309947676]","[0.6339981689102943,0.6394444983541921,0.6554359327610942,0.6354253457510074,0.6000624857417213]","[0.027520120843394214,0.027569904576323665,0.025868355577849233,0.026047692317029567,0.025400455163847407]"
2500,49,1.4366544880795304,0.5974614030856407,0.09112096463729857,0.029261298908796925,0.6740522957884668,446.87496919355465,2,"[1.5689276172667774,1.3043813588922835]","[0.09188197767145136,0.09035995160314579]","[103.0,109.0]","[1031131392,-1149121446]","[49,49]","[424.0560759441754,469.69386244293395]","[0.6057141897120778,0.5892086164592034]","[0.6900366244091658,0.6580679671677678]","[0.030275574309220232,0.02824702350837362]"
