evolution$generation,maxNewLinksNumber,densityConf,breakdownHierarchy,breakdownThreshold,nwDiameter,meanPathLength,meanBwCentrality,meanClosenessCentrality,meanRelativeSpeed,nwLength,evolution$samples,nwDiameter,meanBwCentrality,nwSize,breakdownThreshold,densityConf,meanPathLength,maxNewLinksNumber,replication,breakdownHierarchy,nwLength,meanRelativeSpeed,meanClosenessCentrality
4500,7.943708060873543,15,2.799600513293836,1.0045176429460176,1.244004396243294,0.5494009846684182,0.05378805175038051,0.027271505519497464,0.7509481240264306,737.9543716444239,1,"[1.244004396243294]","[0.05378805175038051]","[149.0]","[1.0045176429460176]","[15]","[0.5494009846684182]","[7.943708060873543]","[629993818]","[2.799600513293836]","[737.9543716444239]","[0.7509481240264306]","[0.027271505519497464]"
4500,1.0,7,0.8205032954532291,1.2426332130458408,1.5338402782995826,0.5960921295816782,0.09205083685480474,0.030103581902022097,0.6517729950628656,392.02863424867024,1,"[1.5338402782995826]","[0.09205083685480474]","[108.0]","[1.2426332130458408]","[7]","[0.5960921295816782]","[1.0]","[-1379826114]","[0.8205032954532291]","[392.02863424867024]","[0.6517729950628656]","[0.030103581902022097]"
4500,7.672661023813866,39,2.6810884464365903,1.0,1.1989630333709882,0.5406765262822604,0.04500712250712251,0.09163372663581149,0.8592976520007105,1033.7014315602264,1,"[1.1989630333709882]","[0.04500712250712251]","[101.0]","[1.0]","[39]","[0.5406765262822604]","[7.672661023813866]","[409673520]","[2.6810884464365903]","[1033.7014315602264]","[0.8592976520007105]","[0.09163372663581149]"
4500,1.0,39,0.1,1.1662288322164938,1.205548529037042,0.5503801355843297,0.05990676252948832,0.049668319324242184,0.7991933276778441,646.6798167039432,1,"[1.205548529037042]","[0.05990676252948832]","[102.0]","[1.1662288322164938]","[39]","[0.5503801355843297]","[1.0]","[-1583683626]","[0.1]","[646.6798167039432]","[0.7991933276778441]","[0.049668319324242184]"
4500,7.323924069266938,49,0.9477834609261364,1.1961880372655687,1.0494379021058127,0.5015513307514543,0.05461410305700963,0.04568882302752426,0.80450409525814,702.1080896556438,1,"[1.0494379021058127]","[0.05461410305700963]","[107.0]","[1.1961880372655687]","[49]","[0.5015513307514543]","[7.323924069266938]","[-83713804]","[0.9477834609261364]","[702.1080896556438]","[0.80450409525814]","[0.04568882302752426]"
4500,3.0312124807173126,39,3.6633078310983986,4.935971060225462,1.3818244218747913,0.6160187718170033,0.10111681038666011,0.033385711841161674,0.6904328319318365,319.9794068147658,1,"[1.3818244218747913]","[0.10111681038666011]","[101.0]","[4.935971060225462]","[39]","[0.6160187718170033]","[3.0312124807173126]","[-1920791607]","[3.6633078310983986]","[319.9794068147658]","[0.6904328319318365]","[0.033385711841161674]"
4500,7.299005470093196,44,0.8224430005612147,1.0,1.1838009715654305,0.5123400067173648,0.04992073211251293,0.02777378251819541,0.7410075894826152,758.0414704044933,1,"[1.1838009715654305]","[0.04992073211251293]","[145.0]","[1.0]","[44]","[0.5123400067173648]","[7.299005470093196]","[-1018345519]","[0.8224430005612147]","[758.0414704044933]","[0.7410075894826152]","[0.02777378251819541]"
4500,9.702210587604055,9,3.0075553201424365,1.0,1.2141916540946929,0.5208432155819447,0.058917893521382325,0.03805889998782139,0.7588548807201734,626.5854526494363,1,"[1.2141916540946929]","[0.058917893521382325]","[102.0]","[1.0]","[9]","[0.5208432155819447]","[9.702210587604055]","[-1052468980]","[3.0075553201424365]","[626.5854526494363]","[0.7588548807201734]","[0.03805889998782139]"
4500,7.949409667948645,2,0.9406221777238195,1.9594670919890251,1.4768113713899416,0.687408791281714,0.0905874778689844,0.02264904766160804,0.6213949571521872,451.9655421537149,1,"[1.4768113713899416]","[0.0905874778689844]","[105.0]","[1.9594670919890251]","[2]","[0.687408791281714]","[7.949409667948645]","[2078124337]","[0.9406221777238195]","[451.9655421537149]","[0.6213949571521872]","[0.02264904766160804]"
4500,7.275120437334631,50,1.8604418197163959,1.5906467203020915,1.4484826555296637,0.5966209471303068,0.07986653319986653,0.022776470731856374,0.6574279773049435,558.9755147660161,1,"[1.4484826555296637]","[0.07986653319986653]","[119.0]","[1.5906467203020915]","[50]","[0.5966209471303068]","[7.275120437334631]","[-1232872525]","[1.8604418197163959]","[558.9755147660161]","[0.6574279773049435]","[0.022776470731856374]"
