evolution$generation,evolution$evaluated,maxNewLinksNumber,densityConf,costTradeoff,nwDiameter,meanPathLength,meanBwCentrality,meanClosenessCentrality,meanRelativeSpeed,nwLength,evolution$samples,nwDiameter,meanBwCentrality,densityConf,nwLength,meanPathLength,nwSize,costTradeoff,maxNewLinksNumber,replication,meanRelativeSpeed,meanClosenessCentrality
2500,2500,17.184652087272873,24,0.040198075023489134,1.7173963954619096,0.6303594665784634,0.0709576984923512,0.03785599161437878,0.6659065796137115,538.4989969228313,2,"[1.5375147611320552,1.897278029791764]","[0.07094912256202579,0.07096627442267663]","[24,24]","[543.2966289884657,533.7013648571968]","[0.6096818084592613,0.6510371246976655]","[101.0,101.0]","[0.040198075023489134,0.040198075023489134]","[17.184652087272873,17.184652087272873]","[-2048660123,-348644096]","[0.6791632975195313,0.6526498617078916]","[0.037505140514182814,0.03820684271457475]"
2500,2500,20.0,22,0.029961454656006817,1.9760569266999297,0.7171154763779396,0.06598872106982329,0.030509586418207436,0.5616830135888489,565.7564319770426,1,"[1.9760569266999297]","[0.06598872106982329]","[22]","[565.7564319770426]","[0.7171154763779396]","[125.0]","[0.029961454656006817]","[20.0]","[1872863968]","[0.5616830135888489]","[0.030509586418207436]"
2500,2500,18.200465590368953,40,0.036291916831500785,1.4525790424353404,0.6210505643849499,0.06497729253289122,0.028528051678306816,0.6559218566577518,587.4506005631192,2,"[1.5033418936072176,1.4018161912634632]","[0.06888267452018769,0.06107191054559476]","[40,40]","[554.4672375270821,620.4339635991563]","[0.6215994981345956,0.6205016306353042]","[109.0,117.0]","[0.036291916831500785,0.036291916831500785]","[18.200465590368953,18.200465590368953]","[1410748848,1559003980]","[0.6452961183453381,0.6665475949701656]","[0.0305659611206014,0.026490142236012232]"
2500,2500,9.962827042422404,35,0.03983721984998009,1.907495516307172,0.7502464180395855,0.09620592590376764,0.025457249170110212,0.5827725943921465,428.4172672945932,2,"[1.738067430756551,2.0769236018577932]","[0.09361607761607763,0.09879577419145764]","[35,35]","[413.9709502951947,442.8635842939917]","[0.7311293231032537,0.7693635129759172]","[106.0,112.0]","[0.03983721984998009,0.03983721984998009]","[9.962827042422404,9.962827042422404]","[507915693,385701016]","[0.5745830225041033,0.5909621662801896]","[0.026152516981765107,0.024761981358455313]"
2500,2500,17.593669618232916,39,0.017922818011392755,1.5695439884088542,0.7259192123189467,0.032044116551158804,0.11112330181295017,0.7366681696284423,708.003114988995,1,"[1.5695439884088542]","[0.032044116551158804]","[39]","[708.003114988995]","[0.7259192123189467]","[97.0]","[0.017922818011392755]","[17.593669618232916]","[587320484]","[0.7366681696284423]","[0.11112330181295017]"
2500,2500,6.995758528096562,22,0.049136527858669475,1.7426016024613293,0.5889486534377091,0.09389766081871345,0.032312238991400816,0.5928565255532925,373.4294361870437,1,"[1.7426016024613293]","[0.09389766081871345]","[22]","[373.4294361870437]","[0.5889486534377091]","[104.0]","[0.049136527858669475]","[6.995758528096562]","[-86240671]","[0.5928565255532925]","[0.032312238991400816]"
2500,2500,17.12896187846287,16,0.039668150370878986,1.4704795755062638,0.7129182411442855,0.06370521094447475,0.02805405030191874,0.6256099265900147,521.888291132021,3,"[1.4704795755062638,2.4091200024625015,1.4642569582476428]","[0.06370521094447475,0.08016620498614958,0.06160146629245661]","[16,16,16]","[510.25941414281914,521.888291132021,533.1191019430896]","[0.7129182411442855,0.8461092863307568,0.6743246646955198]","[108.0,110.0,117.0]","[0.039668150370878986,0.039668150370878986,0.039668150370878986]","[17.12896187846287,17.12896187846287,17.12896187846287]","[73438381,-1487097791,-599092286]","[0.6256099265900147,0.5977595324073444,0.652286359103903]","[0.02989664819210822,0.02805405030191874,0.027823881499161564]"
2500,2500,17.05483736043459,47,0.03472733051157517,1.8429725586233383,0.7022453610303488,0.06925019555257571,0.02967345902886419,0.6077540838917926,510.00088516349854,1,"[1.8429725586233383]","[0.06925019555257571]","[47]","[510.00088516349854]","[0.7022453610303488]","[107.0]","[0.03472733051157517]","[17.05483736043459]","[597970715]","[0.6077540838917926]","[0.02967345902886419]"
2500,2500,17.50533638287116,8,0.03913337552944751,1.3153163446989977,0.5605487177257957,0.05819010021257212,0.03829082551728488,0.6509645269871634,501.3228414134025,1,"[1.3153163446989977]","[0.05819010021257212]","[8]","[501.3228414134025]","[0.5605487177257957]","[110.0]","[0.03913337552944751]","[17.50533638287116]","[-1925516029]","[0.6509645269871634]","[0.03829082551728488]"
2500,2500,16.68832856846852,41,0.032831179819475344,1.6932807687593276,0.6679570912837833,0.0696964480403971,0.02333775909000295,0.6525273427823994,560.1478638261624,1,"[1.6932807687593276]","[0.0696964480403971]","[41]","[560.1478638261624]","[0.6679570912837833]","[112.0]","[0.032831179819475344]","[16.68832856846852]","[-1263345302]","[0.6525273427823994]","[0.02333775909000295]"
