evolution$generation,evolution$evaluated,maxNewLinksNumber,densityConf,costTradeoff,nwDiameter,meanPathLength,meanBwCentrality,meanClosenessCentrality,meanRelativeSpeed,nwLength,evolution$samples,nwDiameter,meanBwCentrality,densityConf,nwLength,meanPathLength,nwSize,costTradeoff,maxNewLinksNumber,replication,meanRelativeSpeed,meanClosenessCentrality
1500,1500,17.184652087272873,24,0.040198075023489134,1.7173963954619096,0.6303594665784634,0.0709576984923512,0.03785599161437878,0.6659065796137115,538.4989969228313,2,"[1.5375147611320552,1.897278029791764]","[0.07094912256202579,0.07096627442267663]","[24,24]","[543.2966289884657,533.7013648571968]","[0.6096818084592613,0.6510371246976655]","[101.0,101.0]","[0.040198075023489134,0.040198075023489134]","[17.184652087272873,17.184652087272873]","[-2048660123,-348644096]","[0.6791632975195313,0.6526498617078916]","[0.037505140514182814,0.03820684271457475]"
1500,1500,14.490500590744007,15,0.041145602682406246,1.6869014225000958,0.7912270813494557,0.0738465233096851,0.02453305507237692,0.5556276671070076,515.903543183055,1,"[1.6869014225000958]","[0.0738465233096851]","[15]","[515.903543183055]","[0.7912270813494557]","[108.0]","[0.041145602682406246]","[14.490500590744007]","[68100965]","[0.5556276671070076]","[0.02453305507237692]"
1500,1500,16.588193384294918,30,0.03929889757088128,1.8401967773688486,0.7969872176766821,0.07141204490756806,0.03916899206252309,0.5934085747794646,514.8244282849463,2,"[1.8768830635542533,1.803510491183444]","[0.06753959276018098,0.07528449705495512]","[30,30]","[500.87277205785364,528.7760845120389]","[0.8280027976153803,0.765971637737984]","[100.0,105.0]","[0.03929889757088128,0.03929889757088128]","[16.588193384294918,16.588193384294918]","[1046741510,-2005340372]","[0.5891566190588462,0.5976605305000832]","[0.040933632150924784,0.0374043519741214]"
1500,1500,18.200465590368953,40,0.036291916831500785,1.4525790424353404,0.6210505643849499,0.06497729253289122,0.028528051678306816,0.6559218566577518,587.4506005631192,2,"[1.5033418936072176,1.4018161912634632]","[0.06888267452018769,0.06107191054559476]","[40,40]","[554.4672375270821,620.4339635991563]","[0.6215994981345956,0.6205016306353042]","[109.0,117.0]","[0.036291916831500785,0.036291916831500785]","[18.200465590368953,18.200465590368953]","[1410748848,1559003980]","[0.6452961183453381,0.6665475949701656]","[0.0305659611206014,0.026490142236012232]"
1500,1500,9.962827042422404,35,0.03983721984998009,1.907495516307172,0.7502464180395855,0.09620592590376764,0.025457249170110212,0.5827725943921465,428.4172672945932,2,"[1.738067430756551,2.0769236018577932]","[0.09361607761607763,0.09879577419145764]","[35,35]","[413.9709502951947,442.8635842939917]","[0.7311293231032537,0.7693635129759172]","[106.0,112.0]","[0.03983721984998009,0.03983721984998009]","[9.962827042422404,9.962827042422404]","[507915693,385701016]","[0.5745830225041033,0.5909621662801896]","[0.026152516981765107,0.024761981358455313]"
1500,1500,17.01541418537273,6,0.039326005983427975,2.0311003084355637,0.7065198036368087,0.08326541036341506,0.03700359572347548,0.5953788319068337,458.260205247966,1,"[2.0311003084355637]","[0.08326541036341506]","[6]","[458.260205247966]","[0.7065198036368087]","[100.0]","[0.039326005983427975]","[17.01541418537273]","[-306775745]","[0.5953788319068337]","[0.03700359572347548]"
1500,1500,20.0,9,0.03615517096290232,1.4670313646029698,0.6281804720254707,0.05254888428801472,0.03309975786432554,0.6697504532261693,632.8852836212076,1,"[1.4670313646029698]","[0.05254888428801472]","[9]","[632.8852836212076]","[0.6281804720254707]","[108.0]","[0.03615517096290232]","[20.0]","[-1344038040]","[0.6697504532261693]","[0.03309975786432554]"
1500,1500,6.995758528096562,22,0.049136527858669475,1.7426016024613293,0.5889486534377091,0.09389766081871345,0.032312238991400816,0.5928565255532925,373.4294361870437,1,"[1.7426016024613293]","[0.09389766081871345]","[22]","[373.4294361870437]","[0.5889486534377091]","[104.0]","[0.049136527858669475]","[6.995758528096562]","[-86240671]","[0.5928565255532925]","[0.032312238991400816]"
1500,1500,17.12896187846287,16,0.039668150370878986,1.4704795755062638,0.7129182411442855,0.06370521094447475,0.02805405030191874,0.6256099265900147,521.888291132021,3,"[1.4704795755062638,2.4091200024625015,1.4642569582476428]","[0.06370521094447475,0.08016620498614958,0.06160146629245661]","[16,16,16]","[510.25941414281914,521.888291132021,533.1191019430896]","[0.7129182411442855,0.8461092863307568,0.6743246646955198]","[108.0,110.0,117.0]","[0.039668150370878986,0.039668150370878986,0.039668150370878986]","[17.12896187846287,17.12896187846287,17.12896187846287]","[73438381,-1487097791,-599092286]","[0.6256099265900147,0.5977595324073444,0.652286359103903]","[0.02989664819210822,0.02805405030191874,0.027823881499161564]"
1500,1500,17.913189959341356,40,0.0384111113605079,1.4242115686612515,0.6443637594726831,0.0678870569363556,0.031115946110628966,0.6678377235619443,513.4730075100305,1,"[1.4242115686612515]","[0.0678870569363556]","[40]","[513.4730075100305]","[0.6443637594726831]","[114.0]","[0.0384111113605079]","[17.913189959341356]","[1099899799]","[0.6678377235619443]","[0.031115946110628966]"
