evolution$generation,evolution$evaluated,maxNewLinksNumber,densityConf,gravityRadius,gravityInflexion,gravityHierarchyWeight,gravityHierarchyExponent,nwDiameter,meanPathLength,meanBwCentrality,meanClosenessCentrality,meanRelativeSpeed,nwLength,evolution$samples,gravityInflexion,nwDiameter,meanBwCentrality,gravityHierarchyExponent,nwSize,gravityRadius,densityConf,nwLength,meanPathLength,gravityHierarchyWeight,maxNewLinksNumber,replication,meanRelativeSpeed,meanClosenessCentrality
500,500,7.909608770138707,36,1551.9461499064244,8.070620397353421,1.0,2.7666788659679344,1.2828431605195005,0.526139783655653,0.07540296052631579,0.03279605425730348,0.6688851423474895,471.7201947393431,1,"[8.070620397353421]","[1.2828431605195005]","[0.07540296052631579]","[2.7666788659679344]","[110.0]","[1551.9461499064244]","[36]","[471.7201947393431]","[0.526139783655653]","[1.0]","[7.909608770138707]","[-2078037383]","[0.6688851423474895]","[0.03279605425730348]"
500,500,8.256464426911394,9,2068.2062345817644,7.713776041204385,0.9974822737297203,2.550209850632759,1.9734290657537816,0.7607230336013422,0.09981400755594305,0.02582966301161727,0.5570400172833392,425.8324922601042,1,"[7.713776041204385]","[1.9734290657537816]","[0.09981400755594305]","[2.550209850632759]","[108.0]","[2068.2062345817644]","[9]","[425.8324922601042]","[0.7607230336013422]","[0.9974822737297203]","[8.256464426911394]","[769905804]","[0.5570400172833392]","[0.02582966301161727]"
500,500,5.0,1,10.0,10.0,0.04034122523216937,1.1549540401089096,1.6500313741126322,0.6918384083452624,0.11471008407623508,0.027849844312998716,0.5673456332421383,356.62771498583174,2,"[10.0,10.0]","[1.671717887560524,1.6283448606647402]","[0.11927578063500394,0.11014438751746622]","[1.1549540401089096,1.1549540401089096]","[101.0,105.0]","[10.0,10.0]","[1,1]","[338.30121596063657,374.9542140110269]","[0.7220085878990824,0.6616682287914425]","[0.04034122523216937,0.04034122523216937]","[5.0,5.0]","[1102429618,-1332012881]","[0.5273376052280487,0.6073536612562277]","[0.029138541989350623,0.026561146636646812]"
500,500,8.041012239913904,33,1731.1492887170498,8.756840765049295,0.6679975081087564,2.7824775509539066,1.6591166656618999,0.715164913091902,0.10985781556272942,0.028357570848272496,0.5626172787432957,344.3156896175685,2,"[8.756840765049295,8.756840765049295]","[1.7666369577512497,1.5515963735725498]","[0.12230792498487598,0.09740770614058285]","[2.7824775509539066,2.7824775509539066]","[105.0,100.0]","[1731.1492887170498,1731.1492887170498]","[33,33]","[344.19394254515447,344.43743668998263]","[0.7574683404189512,0.6728614857648529]","[0.6679975081087564,0.6679975081087564]","[8.041012239913904,8.041012239913904]","[-1769848380,1759899272]","[0.539282620645969,0.5859519368406223]","[0.026982545511547013,0.02973259618499798]"
500,500,7.460551476068993,18,1257.1890771451508,9.280071518135308,0.4902863675537514,3.059966220244921,1.9910484152744816,0.8166158596670396,0.10664058726939052,0.025356670709965154,0.5601833190842864,395.2133965600579,1,"[9.280071518135308]","[1.9910484152744816]","[0.10664058726939052]","[3.059966220244921]","[106.0]","[1257.1890771451508]","[18]","[395.2133965600579]","[0.8166158596670396]","[0.4902863675537514]","[7.460551476068993]","[-1810220185]","[0.5601833190842864]","[0.025356670709965154]"
500,500,9.478311375660002,25,658.1731497514862,5.1586743145746485,0.544441253643119,1.4632661901071853,1.7488719530967418,0.750957195638569,0.10453020689862796,0.024078710392591594,0.5967754054633807,401.08369759057086,2,"[5.1586743145746485,5.1586743145746485]","[1.6130240317894506,1.884719874404033]","[0.09905484431800222,0.11000556947925369]","[1.4632661901071853,1.4632661901071853]","[100.0,111.0]","[658.1731497514862,658.1731497514862]","[25,25]","[383.49108348952495,418.6763116916167]","[0.6713850432406754,0.8305293480364625]","[0.544441253643119,0.544441253643119]","[9.478311375660002,9.478311375660002]","[1494348049,1103855564]","[0.6301746974268819,0.5633761134998796]","[0.026491335362569354,0.021666085422613834]"
500,500,8.164123943515207,1,1690.094936265463,7.301284136950646,0.7458203958086358,2.7601722301757374,1.2919306447304244,0.6248550550576762,0.09131629848315179,0.023294903374876746,0.6081602588042604,407.4596044244648,1,"[7.301284136950646]","[1.2919306447304244]","[0.09131629848315179]","[2.7601722301757374]","[125.0]","[1690.094936265463]","[1]","[407.4596044244648]","[0.6248550550576762]","[0.7458203958086358]","[8.164123943515207]","[1605432164]","[0.6081602588042604]","[0.023294903374876746]"
500,500,9.966462800066429,8,2508.164804872652,4.4800849076248745,0.14974287281688992,2.8112370981371977,2.0748885015511283,0.5701855270239325,0.1050949050949051,0.035336216666779136,0.6097783848998942,355.14012696049593,1,"[4.4800849076248745]","[2.0748885015511283]","[0.1050949050949051]","[2.8112370981371977]","[101.0]","[2508.164804872652]","[8]","[355.14012696049593]","[0.5701855270239325]","[0.14974287281688992]","[9.966462800066429]","[-177135994]","[0.6097783848998942]","[0.035336216666779136]"
500,500,5.336262979546343,1,10.0,8.83544629359846,0.23828780961383966,1.6147431876015328,1.9077455516349089,0.7284988037641981,0.11437814394141382,0.023169991808628814,0.5490878712695851,381.9206263268361,1,"[8.83544629359846]","[1.9077455516349089]","[0.11437814394141382]","[1.6147431876015328]","[121.0]","[10.0]","[1]","[381.9206263268361]","[0.7284988037641981]","[0.23828780961383966]","[5.336262979546343]","[-1845992438]","[0.5490878712695851]","[0.023169991808628814]"
500,500,7.837721237003695,17,1570.2233238886947,7.724193030881265,0.9425071246246315,2.72196583159439,1.8117113742421,0.7550083581134928,0.09693140224662375,0.018266029621466534,0.5703369813514253,477.182327262743,1,"[7.724193030881265]","[1.8117113742421]","[0.09693140224662375]","[2.72196583159439]","[126.0]","[1570.2233238886947]","[17]","[477.182327262743]","[0.7550083581134928]","[0.9425071246246315]","[7.837721237003695]","[1007241298]","[0.5703369813514253]","[0.018266029621466534]"
500,500,7.855761860283717,47,2088.7992664466396,8.495355636035692,1.0,2.849880498541016,1.7050830637447425,0.6251579718640262,0.0948421052631579,0.03294673121799599,0.6647450560995793,420.48217380675055,1,"[8.495355636035692]","[1.7050830637447425]","[0.0948421052631579]","[2.849880498541016]","[103.0]","[2088.7992664466396]","[47]","[420.48217380675055]","[0.6251579718640262]","[1.0]","[7.855761860283717]","[-1624300802]","[0.6647450560995793]","[0.03294673121799599]"
500,500,8.648548580552411,5,1733.892325807838,9.755334235475543,0.7736512560451843,3.3460049811684005,1.6634542111911674,0.6756303907686791,0.10536097820308346,0.023098593261002554,0.6184396977328205,418.0040508060155,2,"[9.755334235475543,9.755334235475543]","[1.9203613922710898,1.4065470301112448]","[0.11371610845295055,0.09700584795321636]","[3.3460049811684005,3.3460049811684005]","[108.0,108.0]","[1733.892325807838,1733.892325807838]","[5,5]","[416.9378210261117,419.07028058591936]","[0.6767404658310145,0.6745203157063437]","[0.7736512560451843,0.7736512560451843]","[8.648548580552411,8.648548580552411]","[1678628856,287216920]","[0.6200297069227813,0.6168496885428597]","[0.023969281097889667,0.022227905424115436]"
500,500,7.787686691577813,33,1772.087893185703,8.012527079609818,0.9726261884150805,2.776910613069499,1.7153223718816442,0.677317415971889,0.10729519450800916,0.027560430419635896,0.5701758449459802,357.51648311184374,1,"[8.012527079609818]","[1.7153223718816442]","[0.10729519450800916]","[2.776910613069499]","[104.0]","[1772.087893185703]","[33]","[357.51648311184374]","[0.677317415971889]","[0.9726261884150805]","[7.787686691577813]","[-1260127991]","[0.5701758449459802]","[0.027560430419635896]"
500,500,5.465232201072026,39,14.603193818378667,8.83356247094463,0.23595222132564275,1.5873198514881424,1.461867344749092,0.7158029478445865,0.141677933537323,0.06602224018177173,0.6385242477806945,251.1628783213657,1,"[8.83356247094463]","[1.461867344749092]","[0.141677933537323]","[1.5873198514881424]","[60.0]","[14.603193818378667]","[39]","[251.1628783213657]","[0.7158029478445865]","[0.23595222132564275]","[5.465232201072026]","[-2045966907]","[0.6385242477806945]","[0.06602224018177173]"
500,500,8.335059684426687,10,1926.6631488657151,7.316216213764685,1.0,2.858799051313022,1.4261739554702242,0.6347727188275546,0.08398293029871977,0.029628820139755638,0.6288146537485662,514.4594479125502,1,"[7.316216213764685]","[1.4261739554702242]","[0.08398293029871977]","[2.858799051313022]","[111.0]","[1926.6631488657151]","[10]","[514.4594479125502]","[0.6347727188275546]","[1.0]","[8.335059684426687]","[-1032232868]","[0.6288146537485662]","[0.029628820139755638]"
500,500,7.811684902229365,32,1581.112157805063,7.865774326674012,0.9173582637390997,2.7405070648441217,1.450734840604039,0.7179591441574434,0.10144955766577389,0.024945067530525722,0.5800542859544048,403.9143117085608,1,"[7.865774326674012]","[1.450734840604039]","[0.10144955766577389]","[2.7405070648441217]","[102.0]","[1581.112157805063]","[32]","[403.9143117085608]","[0.7179591441574434]","[0.9173582637390997]","[7.811684902229365]","[-1048392382]","[0.5800542859544048]","[0.024945067530525722]"
500,500,9.997941248180918,11,2507.1914975744653,4.311758633655735,0.1562497283965913,2.811292374556657,1.2352635583214941,0.6234750191613373,0.08404813687110338,0.02479724017179083,0.650904760087848,408.9219786358311,1,"[4.311758633655735]","[1.2352635583214941]","[0.08404813687110338]","[2.811292374556657]","[107.0]","[2507.1914975744653]","[11]","[408.9219786358311]","[0.6234750191613373]","[0.1562497283965913]","[9.997941248180918]","[-2052732786]","[0.650904760087848]","[0.02479724017179083]"
500,500,8.4077103741227,12,2523.961065233546,7.388509899197693,0.34706192584152845,2.5353911857911107,1.3750921285292772,0.6437642842754638,0.10271781147784716,0.02535914625643593,0.622683035163064,395.33691468331995,1,"[7.388509899197693]","[1.3750921285292772]","[0.10271781147784716]","[2.5353911857911107]","[107.0]","[2523.961065233546]","[12]","[395.33691468331995]","[0.6437642842754638]","[0.34706192584152845]","[8.4077103741227]","[1110809433]","[0.622683035163064]","[0.02535914625643593]"
500,500,5.7492020406673285,9,743.1485790331944,8.729174969427806,0.03493562754856956,1.6869716756070474,1.3720328257074648,0.6380208020637391,0.10348912690684843,0.024945799594609425,0.6178802143686176,387.97873131807665,1,"[8.729174969427806]","[1.3720328257074648]","[0.10348912690684843]","[1.6869716756070474]","[110.0]","[743.1485790331944]","[9]","[387.97873131807665]","[0.6380208020637391]","[0.03493562754856956]","[5.7492020406673285]","[-1581245158]","[0.6178802143686176]","[0.024945799594609425]"
500,500,5.191883979649878,3,2459.3889828638744,4.953896736195222,0.21197823732081014,1.8078475810900672,1.9561266327593252,0.7530218371929802,0.10449398324452006,0.021842819092784425,0.5714651568592007,399.3288858975458,2,"[4.953896736195222,4.953896736195222]","[2.0790162681446582,1.8332369973739921]","[0.1136409201224016,0.09534704636663853]","[1.8078475810900672,1.8078475810900672]","[111.0,113.0]","[2459.3889828638744,2459.3889828638744]","[3,3]","[396.6445111126408,402.01326068245066]","[0.7788666852196642,0.7271769891662961]","[0.21197823732081014,0.21197823732081014]","[5.191883979649878,5.191883979649878]","[-659224507,-1651112067]","[0.5497806123540908,0.5931497013643107]","[0.02132483936999841,0.022360798815570446]"
500,500,9.290092722061758,25,2397.0866728183914,3.825754641615667,0.15653833957106936,3.058875198625712,1.5470970665869739,0.6408220808749219,0.09228380686228846,0.0283234887023004,0.6314974807268748,389.57738887745825,1,"[3.825754641615667]","[1.5470970665869739]","[0.09228380686228846]","[3.058875198625712]","[100.0]","[2397.0866728183914]","[25]","[389.57738887745825]","[0.6408220808749219]","[0.15653833957106936]","[9.290092722061758]","[-1471895761]","[0.6314974807268748]","[0.0283234887023004]"
500,500,9.977847618200887,49,2409.2381823082,3.218487968322032,0.19787382511315904,2.8215653416222244,1.743285160051593,0.8250215827004613,0.09738734216318493,0.018926503426041786,0.5582210014608804,456.82892331062965,1,"[3.218487968322032]","[1.743285160051593]","[0.09738734216318493]","[2.8215653416222244]","[125.0]","[2409.2381823082]","[49]","[456.82892331062965]","[0.8250215827004613]","[0.19787382511315904]","[9.977847618200887]","[-68165351]","[0.5582210014608804]","[0.018926503426041786]"
500,500,9.866639203248997,36,555.7420773075124,5.759402342831121,0.5733170667508274,1.5163938647431092,2.1644778581562245,0.648910915669391,0.09519791213571117,0.028742478576633233,0.6318653689850161,394.1530255422497,1,"[5.759402342831121]","[2.1644778581562245]","[0.09519791213571117]","[1.5163938647431092]","[106.0]","[555.7420773075124]","[36]","[394.1530255422497]","[0.648910915669391]","[0.5733170667508274]","[9.866639203248997]","[1435824631]","[0.6318653689850161]","[0.028742478576633233]"
500,500,8.065948240986495,42,1742.8245901680937,8.747383912424448,0.673924741310976,2.7622130160728564,2.035091150901484,0.7811929282284422,0.11002092386930629,0.025027186518735853,0.5508468091352692,382.56105041160095,1,"[8.747383912424448]","[2.035091150901484]","[0.11002092386930629]","[2.7622130160728564]","[101.0]","[1742.8245901680937]","[42]","[382.56105041160095]","[0.7811929282284422]","[0.673924741310976]","[8.065948240986495]","[1942334615]","[0.5508468091352692]","[0.025027186518735853]"
500,500,8.039584159174948,26,1396.90278421925,8.215857591592782,0.9571354269908079,2.812253303443023,1.672036889890713,0.731505076694531,0.11610108997062296,0.024940833295673412,0.6004837274975503,402.71872416926135,1,"[8.215857591592782]","[1.672036889890713]","[0.11610108997062296]","[2.812253303443023]","[103.0]","[1396.90278421925]","[26]","[402.71872416926135]","[0.731505076694531]","[0.9571354269908079]","[8.039584159174948]","[1750012834]","[0.6004837274975503]","[0.024940833295673412]"
500,500,5.688877506485533,26,10.0,9.015179629501286,0.0,1.6663957013426187,1.5050859527440776,0.7235407041819105,0.11985402523163323,0.025335140685560604,0.551670970782608,356.45913405142636,1,"[9.015179629501286]","[1.5050859527440776]","[0.11985402523163323]","[1.6663957013426187]","[112.0]","[10.0]","[26]","[356.45913405142636]","[0.7235407041819105]","[0.0]","[5.688877506485533]","[-1896345859]","[0.551670970782608]","[0.025335140685560604]"
500,500,9.554775651622364,6,2305.3703223007597,4.280977130373694,0.2287134440139325,2.8483542629309264,2.0074995372263897,0.6415270505261824,0.11096188747731398,0.030859282507584313,0.6142033244003828,380.58225586532643,1,"[4.280977130373694]","[2.0074995372263897]","[0.11096188747731398]","[2.8483542629309264]","[103.0]","[2305.3703223007597]","[6]","[380.58225586532643]","[0.6415270505261824]","[0.2287134440139325]","[9.554775651622364]","[1543815363]","[0.6142033244003828]","[0.030859282507584313]"
500,500,9.6042892321958,27,177.3194799580458,5.113596640327161,0.5713797022540074,1.4289670695300627,1.3104828288661658,0.5756968367728956,0.1049752404656348,0.02443742620585506,0.6462769525189235,372.3021476796796,1,"[5.113596640327161]","[1.3104828288661658]","[0.1049752404656348]","[1.4289670695300627]","[120.0]","[177.3194799580458]","[27]","[372.3021476796796]","[0.5756968367728956]","[0.5713797022540074]","[9.6042892321958]","[-1094643959]","[0.6462769525189235]","[0.02443742620585506]"
500,500,8.188251958801825,25,2058.976743003472,7.68788595631129,1.0,2.6573955268219205,1.278177014639117,0.5791012187865155,0.06197701149425287,0.024464446621466195,0.709284087210059,615.1698000887787,1,"[7.68788595631129]","[1.278177014639117]","[0.06197701149425287]","[2.6573955268219205]","[122.0]","[2058.976743003472]","[25]","[615.1698000887787]","[0.5791012187865155]","[1.0]","[8.188251958801825]","[-695086137]","[0.709284087210059]","[0.024464446621466195]"
500,500,10.0,21,2398.3338413131105,4.152965097097604,0.15493470011916388,2.828377918366971,1.4215607198770757,0.618890705602195,0.09139029391660972,0.02686720236384523,0.6361616551367943,404.4663571533013,1,"[4.152965097097604]","[1.4215607198770757]","[0.09139029391660972]","[2.828377918366971]","[107.0]","[2398.3338413131105]","[21]","[404.4663571533013]","[0.618890705602195]","[0.15493470011916388]","[10.0]","[-1084946652]","[0.6361616551367943]","[0.02686720236384523]"
500,500,7.792392114629249,40,1796.8908887557895,8.91501080291922,0.5397756353308248,2.943739236389233,1.4610387573978447,0.5978160690704486,0.09565436703603351,0.026115486765393464,0.6538733854755068,387.45747209790426,1,"[8.91501080291922]","[1.4610387573978447]","[0.09565436703603351]","[2.943739236389233]","[113.0]","[1796.8908887557895]","[40]","[387.45747209790426]","[0.5978160690704486]","[0.5397756353308248]","[7.792392114629249]","[-171550088]","[0.6538733854755068]","[0.026115486765393464]"
500,500,5.726807529318045,43,670.0170204089416,8.84015374996322,0.028685832485587297,1.6061467643687373,2.0474793023190694,0.7860448384923842,0.11238443935926773,0.021878971766189664,0.5883265635229672,401.9666249731193,1,"[8.84015374996322]","[2.0474793023190694]","[0.11238443935926773]","[1.6061467643687373]","[106.0]","[670.0170204089416]","[43]","[401.9666249731193]","[0.7860448384923842]","[0.028685832485587297]","[5.726807529318045]","[2332083]","[0.5883265635229672]","[0.021878971766189664]"
500,500,8.138691336768236,31,1742.4685631980465,8.677452401848312,0.6866679625911003,3.1017677404848216,1.504661683622454,0.6588242196244314,0.12954722045631137,0.04249132699551498,0.5844611373143201,299.4648598894007,1,"[8.677452401848312]","[1.504661683622454]","[0.12954722045631137]","[3.1017677404848216]","[86.0]","[1742.4685631980465]","[31]","[299.4648598894007]","[0.6588242196244314]","[0.6866679625911003]","[8.138691336768236]","[528747484]","[0.5844611373143201]","[0.04249132699551498]"
500,500,5.4910242056704135,39,2345.8461713960746,4.3099751488881894,0.21693123082357843,1.7783633101480316,1.6938911750993022,0.7642303281828129,0.13284929356357927,0.05125661185286932,0.6305631467730582,282.0470857543517,1,"[4.3099751488881894]","[1.6938911750993022]","[0.13284929356357927]","[1.7783633101480316]","[68.0]","[2345.8461713960746]","[39]","[282.0470857543517]","[0.7642303281828129]","[0.21693123082357843]","[5.4910242056704135]","[-1021554504]","[0.6305631467730582]","[0.05125661185286932]"
500,500,9.402808901745761,19,335.74878056731336,5.144882531180577,0.5716071409460174,1.3725547079887848,2.158940098591141,0.7481918018820789,0.09638213180008845,0.027531728228522036,0.5914036379341067,389.6340123308276,1,"[5.144882531180577]","[2.158940098591141]","[0.09638213180008845]","[1.3725547079887848]","[104.0]","[335.74878056731336]","[19]","[389.6340123308276]","[0.7481918018820789]","[0.5716071409460174]","[9.402808901745761]","[731769294]","[0.5914036379341067]","[0.027531728228522036]"
500,500,10.0,24,2977.83080908848,4.445990892221372,0.20170994420481353,2.8145696570790895,1.4973569194720642,0.6039976791128392,0.09559373629492042,0.03247586540887737,0.6259475190178473,348.5025104812542,1,"[4.445990892221372]","[1.4973569194720642]","[0.09559373629492042]","[2.8145696570790895]","[101.0]","[2977.83080908848]","[24]","[348.5025104812542]","[0.6039976791128392]","[0.20170994420481353]","[10.0]","[-677171839]","[0.6259475190178473]","[0.03247586540887737]"
500,500,7.945806001445872,33,1632.3112488156196,8.129183657643281,0.9751539571382956,2.7593169560267814,1.6951195394002194,0.6815175985585674,0.08858031603832275,0.02409161416978771,0.6158690128900852,386.6977063736316,1,"[8.129183657643281]","[1.6951195394002194]","[0.08858031603832275]","[2.7593169560267814]","[125.0]","[1632.3112488156196]","[33]","[386.6977063736316]","[0.6815175985585674]","[0.9751539571382956]","[7.945806001445872]","[254820716]","[0.6158690128900852]","[0.02409161416978771]"
500,500,7.520976118914565,28,1770.2034279989682,8.869714940650455,0.5277494042076019,3.090453293618805,1.7749070098146165,0.7295813622183027,0.11082675860901667,0.02889389367192601,0.5538084563346465,356.91167090939564,2,"[8.869714940650455,8.869714940650455]","[1.7842730358278092,1.7655409838014235]","[0.11468790218790219,0.10696561503013115]","[3.090453293618805,3.090453293618805]","[101.0,113.0]","[1770.2034279989682,1770.2034279989682]","[28,28]","[343.42415302633276,370.3991887924586]","[0.7157709009077349,0.7433918235288707]","[0.5277494042076019,0.5277494042076019]","[7.520976118914565,7.520976118914565]","[1463400070,-1067109751]","[0.5764672461952168,0.5311496664740761]","[0.03079180575496453,0.026995981588887497]"
500,500,9.092420920952257,29,2450.491389414619,4.1593237454245795,0.1515336651704913,3.1199089517829446,1.5089675623915975,0.6993346567776113,0.11353299245191137,0.03410130083645364,0.587074109263513,304.2297404298215,1,"[4.1593237454245795]","[1.5089675623915975]","[0.11353299245191137]","[3.1199089517829446]","[100.0]","[2450.491389414619]","[29]","[304.2297404298215]","[0.6993346567776113]","[0.1515336651704913]","[9.092420920952257]","[2019696192]","[0.587074109263513]","[0.03410130083645364]"
500,500,9.766197622092106,34,474.09807962705514,4.7205347719717485,0.5689986639493584,1.178739710692023,1.9097997787821,0.7969105904195116,0.11015059773327122,0.02552840720591475,0.5713607961426144,403.831956941659,1,"[4.7205347719717485]","[1.9097997787821]","[0.11015059773327122]","[1.178739710692023]","[100.0]","[474.09807962705514]","[34]","[403.831956941659]","[0.7969105904195116]","[0.5689986639493584]","[9.766197622092106]","[766754787]","[0.5713607961426144]","[0.02552840720591475]"
500,500,10.0,4,467.8950245179566,5.659422873574723,0.5743306406064059,1.6013822948805045,1.4905309020468989,0.6464739898687628,0.09747428917120388,0.026796590115898515,0.6671393675437992,407.25408557170664,1,"[5.659422873574723]","[1.4905309020468989]","[0.09747428917120388]","[1.6013822948805045]","[102.0]","[467.8950245179566]","[4]","[407.25408557170664]","[0.6464739898687628]","[0.5743306406064059]","[10.0]","[640014940]","[0.6671393675437992]","[0.026796590115898515]"
500,500,7.967711550881704,42,1680.4234727188461,8.648477988408267,0.6562156846433889,2.774505279746418,1.6047215834384956,0.7042681693161172,0.10063877642825012,0.02652571241914528,0.6131597633184391,385.82500110021346,1,"[8.648477988408267]","[1.6047215834384956]","[0.10063877642825012]","[2.774505279746418]","[104.0]","[1680.4234727188461]","[42]","[385.82500110021346]","[0.7042681693161172]","[0.6562156846433889]","[7.967711550881704]","[-1738709463]","[0.6131597633184391]","[0.02652571241914528]"
500,500,9.463051808214258,31,370.6918877036656,5.28742361332181,0.5713628348469203,1.4205345847064106,1.5826276491931561,0.6914373033229224,0.11453947368421052,0.036910868249888325,0.5914471194806667,343.00154079737456,1,"[5.28742361332181]","[1.5826276491931561]","[0.11453947368421052]","[1.4205345847064106]","[96.0]","[370.6918877036656]","[31]","[343.00154079737456]","[0.6914373033229224]","[0.5713628348469203]","[9.463051808214258]","[-136416572]","[0.5914471194806667]","[0.036910868249888325]"
500,500,9.326062754894844,40,1511.9068914886036,4.208146921913577,0.2217228408486568,3.029840640610988,1.4002147448856235,0.6345289293461208,0.10748044450427005,0.02628975436756214,0.6208773217515409,390.1751683394553,1,"[4.208146921913577]","[1.4002147448856235]","[0.10748044450427005]","[3.029840640610988]","[101.0]","[1511.9068914886036]","[40]","[390.1751683394553]","[0.6345289293461208]","[0.2217228408486568]","[9.326062754894844]","[-1392463923]","[0.6208773217515409]","[0.02628975436756214]"
500,500,9.71992213857566,7,465.08019297761996,4.914566532830002,0.577483462150458,1.1832108226133304,1.805086115656285,0.6970104293709015,0.10475347294882732,0.030607861736559255,0.6108001839794517,359.49551970278634,1,"[4.914566532830002]","[1.805086115656285]","[0.10475347294882732]","[1.1832108226133304]","[101.0]","[465.08019297761996]","[7]","[359.49551970278634]","[0.6970104293709015]","[0.577483462150458]","[9.71992213857566]","[2016301871]","[0.6108001839794517]","[0.030607861736559255]"
500,500,8.639391506805419,5,1346.6126643443351,8.250349811483478,0.5515766032055756,2.5729455496053824,1.2073562517468106,0.6374658741637902,0.09325260052786835,0.026793573674497445,0.6529262351624735,400.91578140593936,1,"[8.250349811483478]","[1.2073562517468106]","[0.09325260052786835]","[2.5729455496053824]","[101.0]","[1346.6126643443351]","[5]","[400.91578140593936]","[0.6374658741637902]","[0.5515766032055756]","[8.639391506805419]","[-1723661357]","[0.6529262351624735]","[0.026793573674497445]"
500,500,9.999995859891419,23,2393.049499565822,4.237976248434921,0.15514392330433666,2.8257910160118183,1.9902851100818684,0.6781957638157939,0.09913106655042138,0.026185746906803514,0.6283278635420295,392.8472415846404,1,"[4.237976248434921]","[1.9902851100818684]","[0.09913106655042138]","[2.8257910160118183]","[108.0]","[2393.049499565822]","[23]","[392.8472415846404]","[0.6781957638157939]","[0.15514392330433666]","[9.999995859891419]","[1452504359]","[0.6283278635420295]","[0.026185746906803514]"
