evolution$generation,evolution$evaluated,maxNewLinksNumber,densityConf,gravityRadius,gravityInflexion,gravityHierarchyWeight,gravityHierarchyExponent,nwDiameter,meanPathLength,meanBwCentrality,meanClosenessCentrality,meanRelativeSpeed,nwLength,evolution$samples,gravityInflexion,nwDiameter,meanBwCentrality,gravityHierarchyExponent,nwSize,gravityRadius,densityConf,nwLength,meanPathLength,gravityHierarchyWeight,maxNewLinksNumber,replication,meanRelativeSpeed,meanClosenessCentrality
5000,5000,8.274430697423593,24,2178.5217047638976,7.742201980035497,0.999925774507162,2.518586795188247,1.2494739043122371,0.5209358146723806,0.0621395410385629,0.04391600810696985,0.6736943539586806,511.86509484075555,1,"[7.742201980035497]","[1.2494739043122371]","[0.0621395410385629]","[2.518586795188247]","[112.0]","[2178.5217047638976]","[24]","[511.86509484075555]","[0.5209358146723806]","[0.999925774507162]","[8.274430697423593]","[-1511940440]","[0.6736943539586806]","[0.04391600810696985]"
5000,5000,5.21259281472825,25,1851.1123950022127,0.7191388750689652,0.11542602356413548,0.12622012270464042,1.304614421534021,0.6471544825566338,0.0723942123942124,0.023453141508770283,0.6235953104027551,572.2212705819576,1,"[0.7191388750689652]","[1.304614421534021]","[0.0723942123942124]","[0.12622012270464042]","[115.0]","[1851.1123950022127]","[25]","[572.2212705819576]","[0.6471544825566338]","[0.11542602356413548]","[5.21259281472825]","[1732018150]","[0.6235953104027551]","[0.023453141508770283]"
5000,5000,9.474519515854016,16,1486.2966428165785,5.990860619111182,0.39076747902540576,3.805014762537183,1.8433631274598052,0.7790914988355938,0.09275407980177718,0.026110055943923193,0.5582757383475399,388.2492068120614,1,"[5.990860619111182]","[1.8433631274598052]","[0.09275407980177718]","[3.805014762537183]","[108.0]","[1486.2966428165785]","[16]","[388.2492068120614]","[0.7790914988355938]","[0.39076747902540576]","[9.474519515854016]","[1054288498]","[0.5582757383475399]","[0.026110055943923193]"
5000,5000,5.001628984542433,30,1918.5896221759335,5.016406033594961,0.18458591667656732,1.4959393319986083,1.579364274199256,0.649822399781715,0.11618605469569512,0.03455186229118859,0.6242382061267528,299.4919856561918,1,"[5.016406033594961]","[1.579364274199256]","[0.11618605469569512]","[1.4959393319986083]","[100.0]","[1918.5896221759335]","[30]","[299.4919856561918]","[0.649822399781715]","[0.18458591667656732]","[5.001628984542433]","[-1033173320]","[0.6242382061267528]","[0.03455186229118859]"
5000,5000,8.927643252096608,46,2717.5847405136183,4.657972956499549,0.16532029002683568,2.698821501113956,1.5534979310315358,0.6850365782162929,0.098114689709348,0.020125161996776633,0.5829478819066,453.7617766718716,1,"[4.657972956499549]","[1.5534979310315358]","[0.098114689709348]","[2.698821501113956]","[122.0]","[2717.5847405136183]","[46]","[453.7617766718716]","[0.6850365782162929]","[0.16532029002683568]","[8.927643252096608]","[141416643]","[0.5829478819066]","[0.020125161996776633]"
5000,5000,9.592900529710121,32,643.2418308167514,3.4494948369459086,0.6398622904376976,0.6877329253965053,1.276003301585583,0.5894454525445535,0.07218222953517071,0.02859578044428187,0.7133155646651587,609.7267667328798,1,"[3.4494948369459086]","[1.276003301585583]","[0.07218222953517071]","[0.6877329253965053]","[109.0]","[643.2418308167514]","[32]","[609.7267667328798]","[0.5894454525445535]","[0.6398622904376976]","[9.592900529710121]","[-358694455]","[0.7133155646651587]","[0.02859578044428187]"
5000,5000,8.379658631346956,50,1927.1281128229411,10.0,1.0,3.675458167163565,1.4915078514327782,0.5972495319522227,0.07503811503811504,0.023837266796981258,0.6673270289917242,563.0200677190807,1,"[10.0]","[1.4915078514327782]","[0.07503811503811504]","[3.675458167163565]","[122.0]","[1927.1281128229411]","[50]","[563.0200677190807]","[0.5972495319522227]","[1.0]","[8.379658631346956]","[1540050294]","[0.6673270289917242]","[0.023837266796981258]"
5000,5000,10.0,50,2953.5499238574434,4.4813156212748,0.3781798500082432,2.5453170898993647,1.618742649553606,0.7174992045695447,0.09858172754290095,0.02283495913490345,0.6026423268060501,432.44427852685226,4,"[4.4813156212748,4.4813156212748,4.4813156212748,4.4813156212748]","[1.6806693481679063,1.74678874866175,1.4594077574492756,1.5568159509393056]","[0.08574709577999053,0.10065497076023391,0.09650848432556801,0.10773943054357205]","[2.5453170898993647,2.5453170898993647,2.5453170898993647,2.5453170898993647]","[128.0,105.0,108.0,107.0]","[2953.5499238574434,2953.5499238574434,2953.5499238574434,2953.5499238574434]","[50,50,50,50]","[490.1788273515771,442.27019928110764,422.61835777259694,411.0995257043072]","[0.7363683239527297,0.7389358158431774,0.686192236791385,0.6986300851863598]","[0.3781798500082432,0.3781798500082432,0.3781798500082432,0.3781798500082432]","[10.0,10.0,10.0,10.0]","[727090329,-200653866,254874283,1491902245]","[0.5725582478697111,0.5960964134383898,0.6091882401737105,0.6148612701176972]","[0.018445802049001724,0.022549433015060464,0.02312048525474644,0.023402934368124552]"
5000,5000,10.0,8,4474.570128902291,4.738491962584254,0.23024487536528454,1.8194286179840993,1.828848330212259,0.7518439604302464,0.10766313100990174,0.0262109589022287,0.5475346666514685,408.74363056488863,1,"[4.738491962584254]","[1.828848330212259]","[0.10766313100990174]","[1.8194286179840993]","[115.0]","[4474.570128902291]","[8]","[408.74363056488863]","[0.7518439604302464]","[0.23024487536528454]","[10.0]","[-1118291600]","[0.5475346666514685]","[0.0262109589022287]"
5000,5000,5.367849120537195,4,1960.0950348418344,8.048700476580665,1.0,1.8031187781256177,1.5651281856718158,0.6215590771355558,0.08144183989385229,0.02794547459740135,0.6715001427051448,471.02776149162,1,"[8.048700476580665]","[1.5651281856718158]","[0.08144183989385229]","[1.8031187781256177]","[105.0]","[1960.0950348418344]","[4]","[471.02776149162]","[0.6215590771355558]","[1.0]","[5.367849120537195]","[265563333]","[0.6715001427051448]","[0.02794547459740135]"
