evolution$generation,evolution$evaluated,maxNewLinksNumber,densityConf,gravityRadius,gravityInflexion,gravityHierarchyWeight,gravityHierarchyExponent,nwDiameter,meanPathLength,meanBwCentrality,meanClosenessCentrality,meanRelativeSpeed,nwLength,evolution$samples,gravityInflexion,nwDiameter,meanBwCentrality,gravityHierarchyExponent,nwSize,gravityRadius,densityConf,nwLength,meanPathLength,gravityHierarchyWeight,maxNewLinksNumber,replication,meanRelativeSpeed,meanClosenessCentrality
2000,2000,7.977849574736208,8,467.42981131123173,7.4894876381994475,0.1586976711640608,3.1719300805083885,1.7453485625988745,0.5899028696506204,0.09947574549344461,0.029582362080430497,0.5991401586981336,373.3684174281034,1,"[7.4894876381994475]","[1.7453485625988745]","[0.09947574549344461]","[3.1719300805083885]","[106.0]","[467.42981131123173]","[8]","[373.3684174281034]","[0.5899028696506204]","[0.1586976711640608]","[7.977849574736208]","[1450869889]","[0.5991401586981336]","[0.029582362080430497]"
2000,2000,7.600538913710225,37,4775.393602121992,7.321249423218347,0.25630689350216257,0.1,1.2620243351849938,0.5425947118339061,0.07870772019207922,0.033183722116367165,0.706578103358498,504.90791892879463,1,"[7.321249423218347]","[1.2620243351849938]","[0.07870772019207922]","[0.1]","[111.0]","[4775.393602121992]","[37]","[504.90791892879463]","[0.5425947118339061]","[0.25630689350216257]","[7.600538913710225]","[-1277244309]","[0.706578103358498]","[0.033183722116367165]"
2000,2000,8.250955148761763,27,4287.529876826863,7.5091308987808905,0.22811969569257634,0.5916221127381935,1.0946444205199017,0.5143714805689015,0.06808111691010497,0.02943948125558803,0.7242720256819393,546.3398981416802,1,"[7.5091308987808905]","[1.0946444205199017]","[0.06808111691010497]","[0.5916221127381935]","[108.0]","[4287.529876826863]","[27]","[546.3398981416802]","[0.5143714805689015]","[0.22811969569257634]","[8.250955148761763]","[-1628546641]","[0.7242720256819393]","[0.02943948125558803]"
2000,2000,9.96836515957823,33,71.77577840223262,2.464743594657953,0.0,0.1,1.564707380591681,0.6251539727178221,0.08636804990241176,0.023283242260015918,0.6334082393853002,390.49693311449363,1,"[2.464743594657953]","[1.564707380591681]","[0.08636804990241176]","[0.1]","[127.0]","[71.77577840223262]","[33]","[390.49693311449363]","[0.6251539727178221]","[0.0]","[9.96836515957823]","[-165426020]","[0.6334082393853002]","[0.023283242260015918]"
2000,2000,9.993549487648181,36,1232.411715877038,5.7486953308230015,0.06879725087671724,3.7386882921489795,1.6898418656925884,0.67340391040311,0.10007197480881692,0.02808368886105082,0.5806111083373137,387.19909869082227,1,"[5.7486953308230015]","[1.6898418656925884]","[0.10007197480881692]","[3.7386882921489795]","[102.0]","[1232.411715877038]","[36]","[387.19909869082227]","[0.67340391040311]","[0.06879725087671724]","[9.993549487648181]","[1105105803]","[0.5806111083373137]","[0.02808368886105082]"
2000,2000,5.666892060386832,32,4457.302888003731,9.520667110679467,0.03579015866325396,0.45872283810600156,1.61974484843284,0.7059536594026177,0.09788327189565689,0.02182835107411971,0.6157325771081901,446.3873740457777,1,"[9.520667110679467]","[1.61974484843284]","[0.09788327189565689]","[0.45872283810600156]","[120.0]","[4457.302888003731]","[32]","[446.3873740457777]","[0.7059536594026177]","[0.03579015866325396]","[5.666892060386832]","[728811732]","[0.6157325771081901]","[0.02182835107411971]"
2000,2000,7.212976230025834,24,68.11820596821218,3.5548085174125874,0.5232321250326574,1.935006362179177,1.691428807000344,0.7061937868685116,0.10927625268397011,0.027894123637898782,0.567562407066557,341.14244795055885,2,"[3.5548085174125874,3.5548085174125874]","[1.5243830051485976,1.8584746088520907]","[0.1157336139311626,0.10281889143677761]","[1.935006362179177,1.935006362179177]","[104.0,108.0]","[68.11820596821218,68.11820596821218]","[24,24]","[309.6229659949761,372.6619299061416]","[0.6255812591397013,0.786806314597322]","[0.5232321250326574,0.5232321250326574]","[7.212976230025834,7.212976230025834]","[223693546,1816642919]","[0.5971943879325956,0.5379304262005183]","[0.030192957132528425,0.025595290143269136]"
2000,2000,10.0,28,5000.0,8.799034281556972,1.0,0.30311315929989524,1.3874870906343268,0.5290216031682364,0.07071865357746833,0.0352293738338639,0.700296339586676,506.6094563319472,2,"[8.799034281556972,8.799034281556972]","[1.1989673363692983,1.5760068448993552]","[0.06923361717882266,0.072203689976114]","[0.30311315929989524,0.30311315929989524]","[113.0,120.0]","[5000.0,5000.0]","[28,28]","[497.2713105705009,515.9476020933935]","[0.4992558114784963,0.5587873948579765]","[1.0,1.0]","[10.0,10.0]","[-1058874462,1115089888]","[0.6951962536825108,0.7053964254908413]","[0.03703812815765068,0.033420619510077125]"
2000,2000,7.727746302854223,47,3571.7605348218194,7.272343581604799,0.21727574198973246,0.1,1.4075023603010886,0.5939273338830899,0.08421686663622148,0.032002744315672516,0.6628478335136485,431.669654153574,2,"[7.272343581604799,7.272343581604799]","[1.480368147571012,1.334636573031165]","[0.08972114972114972,0.07871258355129324]","[0.1,0.1]","[110.0,104.0]","[3571.7605348218194,3571.7605348218194]","[47,47]","[420.7438138476181,442.5954944595299]","[0.6367663273715136,0.5510883403946661]","[0.21727574198973246,0.21727574198973246]","[7.727746302854223,7.727746302854223]","[-1241227110,445980280]","[0.6299634204385325,0.6957322465887645]","[0.028156160762259148,0.03584932786908588]"
2000,2000,7.684341327965862,48,3358.1123484265827,8.301226181671652,0.22188551157241973,0.10097137104778046,1.3661094540230767,0.606895681241395,0.07577638125163656,0.026532722805834682,0.7007914349076524,526.6565059019771,1,"[8.301226181671652]","[1.3661094540230767]","[0.07577638125163656]","[0.10097137104778046]","[116.0]","[3358.1123484265827]","[48]","[526.6565059019771]","[0.606895681241395]","[0.22188551157241973]","[7.684341327965862]","[1018256262]","[0.7007914349076524]","[0.026532722805834682]"
2000,2000,8.81625179005253,8,926.6301509083735,7.997962839238812,0.016504691458054173,3.491702997033507,1.5705436362461938,0.6085181057836584,0.09920476031587142,0.03162575214652285,0.5675586456135747,368.4689624079353,1,"[7.997962839238812]","[1.5705436362461938]","[0.09920476031587142]","[3.491702997033507]","[100.0]","[926.6301509083735]","[8]","[368.4689624079353]","[0.6085181057836584]","[0.016504691458054173]","[8.81625179005253]","[419527582]","[0.5675586456135747]","[0.03162575214652285]"
2000,2000,8.811778023051247,35,1519.3918268744078,6.440289744861372,0.027859955897218798,4.0,1.788397490652532,0.7407915683073631,0.09905821189128428,0.024515640363865235,0.5846410745477071,397.53373255982876,2,"[6.440289744861372,6.440289744861372]","[1.4423737067112077,2.134421274593856]","[0.09542944317315026,0.10268698060941828]","[4.0,4.0]","[105.0,103.0]","[1519.3918268744078,1519.3918268744078]","[35,35]","[395.31780107599974,399.7496640436578]","[0.7177928973519343,0.7637902392627921]","[0.027859955897218798,0.027859955897218798]","[8.811778023051247,8.811778023051247]","[924947307,750084414]","[0.5916607322514951,0.577621416843919]","[0.02466168095146018,0.024369599776270293]"
2000,2000,6.94500844025787,42,4168.063698452498,7.964846522398388,0.20995232748420908,0.6032328336170295,1.2602895065968465,0.553757140973951,0.07696236956874018,0.030923990766016696,0.6926445447001977,489.302964734319,1,"[7.964846522398388]","[1.2602895065968465]","[0.07696236956874018]","[0.6032328336170295]","[108.0]","[4168.063698452498]","[42]","[489.302964734319]","[0.553757140973951]","[0.20995232748420908]","[6.94500844025787]","[1798765441]","[0.6926445447001977]","[0.030923990766016696]"
2000,2000,7.1247760045650335,31,4427.409597793015,9.332553018275638,0.5746891679133497,0.9990795480613183,1.4750731493213778,0.6500453579586486,0.05629798300297386,0.07466293148212035,0.7036186015161041,563.474935331929,1,"[9.332553018275638]","[1.4750731493213778]","[0.05629798300297386]","[0.9990795480613183]","[108.0]","[4427.409597793015]","[31]","[563.474935331929]","[0.6500453579586486]","[0.5746891679133497]","[7.1247760045650335]","[-1731718536]","[0.7036186015161041]","[0.07466293148212035]"
2000,2000,7.6848105697692635,31,3554.6441951472657,7.283187187265591,0.19900035697036922,0.1854790681264052,1.6904785856921118,0.6486727358861076,0.07616556214393674,0.057498799838608526,0.6848101110003231,451.1468888093836,1,"[7.283187187265591]","[1.6904785856921118]","[0.07616556214393674]","[0.1854790681264052]","[100.0]","[3554.6441951472657]","[31]","[451.1468888093836]","[0.6486727358861076]","[0.19900035697036922]","[7.6848105697692635]","[528692279]","[0.6848101110003231]","[0.057498799838608526]"
