evolution$generation,evolution$evaluated,maxNewLinksNumber,densityConf,costTradeoff,nwDiameter,meanPathLength,meanBwCentrality,meanClosenessCentrality,meanRelativeSpeed,nwLength,evolution$samples,nwDiameter,meanBwCentrality,densityConf,nwLength,meanPathLength,nwSize,costTradeoff,maxNewLinksNumber,replication,meanRelativeSpeed,meanClosenessCentrality
500,500,5.196201470896703,43,0.01304715200632802,1.709361991986514,0.6907609579957633,0.08133971291866028,0.019844637436339737,0.6101068668497265,471.0535154910107,1,"[1.709361991986514]","[0.08133971291866028]","[43]","[471.0535154910107]","[0.6907609579957633]","[126.0]","[0.01304715200632802]","[5.196201470896703]","[1938423912]","[0.6101068668497265]","[0.019844637436339737]"
500,500,4.253673587810592,43,0.03406589327852118,2.007726734303595,0.6860258511815603,0.10616933638443937,0.023658773185583383,0.6193092101130413,408.9150492221306,1,"[2.007726734303595]","[0.10616933638443937]","[43]","[408.9150492221306]","[0.6860258511815603]","[104.0]","[0.03406589327852118]","[4.253673587810592]","[546852196]","[0.6193092101130413]","[0.023658773185583383]"
500,500,16.817806009127857,47,0.037517121314029234,1.3411219200270497,0.5417054604844413,0.06358882808498122,0.03606088737798214,0.7083890466245456,470.80791952786814,1,"[1.3411219200270497]","[0.06358882808498122]","[47]","[470.80791952786814]","[0.5417054604844413]","[102.0]","[0.037517121314029234]","[16.817806009127857]","[982470333]","[0.7083890466245456]","[0.03606088737798214]"
500,500,6.0675112725079625,20,0.049982785548707366,1.9108539460173661,0.721614219781916,0.09897862448703963,0.025992352961177204,0.5720841583011632,407.6517372475287,1,"[1.9108539460173661]","[0.09897862448703963]","[20]","[407.6517372475287]","[0.721614219781916]","[121.0]","[0.049982785548707366]","[6.0675112725079625]","[420450649]","[0.5720841583011632]","[0.025992352961177204]"
500,500,6.223787327445156,47,0.03538386600712954,1.5958858597974601,0.6737731472116849,0.0838006654567453,0.025102642391824147,0.5926577205444413,411.8822106472021,1,"[1.5958858597974601]","[0.0838006654567453]","[47]","[411.8822106472021]","[0.6737731472116849]","[123.0]","[0.03538386600712954]","[6.223787327445156]","[-514283302]","[0.5926577205444413]","[0.025102642391824147]"
500,500,4.0,18,0.038316686526138836,1.9171843145976262,0.8021813165601177,0.12137446426791587,0.026812435031104885,0.5766256108218735,358.0819948832234,1,"[1.9171843145976262]","[0.12137446426791587]","[18]","[358.0819948832234]","[0.8021813165601177]","[108.0]","[0.038316686526138836]","[4.0]","[722963466]","[0.5766256108218735]","[0.026812435031104885]"
500,500,15.603163261632774,28,0.036822866744926054,1.8582682587827344,0.7675118364728369,0.0789089089089089,0.03525527153377302,0.5787230998515459,432.27380715130437,1,"[1.8582682587827344]","[0.0789089089089089]","[28]","[432.27380715130437]","[0.7675118364728369]","[101.0]","[0.036822866744926054]","[15.603163261632774]","[447844490]","[0.5787230998515459]","[0.03525527153377302]"
500,500,5.3351008607140455,18,0.03450158876738225,1.5058291886567847,0.6741357644419392,0.09057331557331558,0.030946293949623883,0.6196409158873747,348.4802272209811,1,"[1.5058291886567847]","[0.09057331557331558]","[18]","[348.4802272209811]","[0.6741357644419392]","[101.0]","[0.03450158876738225]","[5.3351008607140455]","[993837626]","[0.6196409158873747]","[0.030946293949623883]"
500,500,15.599985455313295,25,0.03702197483311102,1.7998852658963989,0.8065414972421897,0.0740327485380117,0.02549099717501409,0.5571310261613571,548.6895558182234,1,"[1.7998852658963989]","[0.0740327485380117]","[25]","[548.6895558182234]","[0.8065414972421897]","[106.0]","[0.03702197483311102]","[15.599985455313295]","[1822997634]","[0.5571310261613571]","[0.02549099717501409]"
500,500,6.0927977313501565,16,0.03369174984344777,1.9907572741921655,0.8331465558432026,0.11715338520997494,0.027969117586820566,0.601471322361178,357.1491863887424,1,"[1.9907572741921655]","[0.11715338520997494]","[16]","[357.1491863887424]","[0.8331465558432026]","[103.0]","[0.03369174984344777]","[6.0927977313501565]","[-2140564298]","[0.601471322361178]","[0.027969117586820566]"
500,500,6.118134687709013,17,0.034140025477948525,1.743024195548469,0.7854851878576284,0.10800664968873797,0.02285546809968377,0.57507590589021,409.5737783765466,2,"[1.6529100821413858,1.8331383089555524]","[0.1078157894736842,0.10819750990379175]","[17,17]","[372.6699067691784,446.47764998391483]","[0.7442844709919537,0.8266859047233032]","[104.0,106.0]","[0.034140025477948525,0.034140025477948525]","[6.118134687709013,6.118134687709013]","[-1402021321,-155094580]","[0.5980129739316227,0.5521388378487971]","[0.02467282263322688,0.021038113566140656]"
500,500,6.116548170177692,2,0.04792017261967815,1.757368051070108,0.7299962919252165,0.09782571182053494,0.02391472632771265,0.619468470772219,394.25600332313826,1,"[1.757368051070108]","[0.09782571182053494]","[2]","[394.25600332313826]","[0.7299962919252165]","[106.0]","[0.04792017261967815]","[6.116548170177692]","[2044750745]","[0.619468470772219]","[0.02391472632771265]"
500,500,6.120577545090171,13,0.03414739578516276,1.340751383031711,0.629782579037462,0.08972048765982754,0.028059921391694845,0.6294382167994107,387.4492468008484,1,"[1.340751383031711]","[0.08972048765982754]","[13]","[387.4492468008484]","[0.629782579037462]","[102.0]","[0.03414739578516276]","[6.120577545090171]","[-380682897]","[0.6294382167994107]","[0.028059921391694845]"
500,500,7.587680014637783,40,0.04865629119090989,1.7908437581620829,0.7262240594977958,0.09352826510721247,0.028119356122612824,0.5900999903559434,400.5763681805951,1,"[1.7908437581620829]","[0.09352826510721247]","[40]","[400.5763681805951]","[0.7262240594977958]","[101.0]","[0.04865629119090989]","[7.587680014637783]","[1041501087]","[0.5900999903559434]","[0.028119356122612824]"
500,500,6.214090253464711,49,0.03535944740773746,1.829014670937652,0.6965152730877344,0.09427649122807018,0.023945069863326944,0.6072455912560221,404.2191203579348,1,"[1.829014670937652]","[0.09427649122807018]","[49]","[404.2191203579348]","[0.6965152730877344]","[108.0]","[0.03535944740773746]","[6.214090253464711]","[-1264224517]","[0.6072455912560221]","[0.023945069863326944]"
500,500,4.0,6,0.04348246132435174,1.3584423079895507,0.5675681658920678,0.09495055821371612,0.030813472157818038,0.6233118737668315,360.04148138536226,1,"[1.3584423079895507]","[0.09495055821371612]","[6]","[360.04148138536226]","[0.5675681658920678]","[101.0]","[0.04348246132435174]","[4.0]","[-1546495838]","[0.6233118737668315]","[0.030813472157818038]"
500,500,7.881233453185371,6,0.04499924088066687,1.7533956460033595,0.6000982472053471,0.10726719073326273,0.029914320837685377,0.5998074634324477,378.84944708999257,1,"[1.7533956460033595]","[0.10726719073326273]","[6]","[378.84944708999257]","[0.6000982472053471]","[111.0]","[0.04499924088066687]","[7.881233453185371]","[1186470646]","[0.5998074634324477]","[0.029914320837685377]"
500,500,6.1248748410114455,8,0.03410187536293329,1.61674737231591,0.5598305452148462,0.09314095729825167,0.036248914908180836,0.6075374134224875,360.2655283572602,1,"[1.61674737231591]","[0.09314095729825167]","[8]","[360.2655283572602]","[0.5598305452148462]","[102.0]","[0.03410187536293329]","[6.1248748410114455]","[1528954283]","[0.6075374134224875]","[0.036248914908180836]"
500,500,6.927652274671615,5,0.05,1.9278173199711797,0.8392777350036593,0.12181720181720182,0.023232164264202673,0.5440389164225102,408.5477174755675,1,"[1.9278173199711797]","[0.12181720181720182]","[5]","[408.5477174755675]","[0.8392777350036593]","[104.0]","[0.05]","[6.927652274671615]","[306937135]","[0.5440389164225102]","[0.023232164264202673]"
