evolution$generation,maxNewLinksNumber,densityConf,bioThreshold,bioSteps,nwDiameter,meanPathLength,meanBwCentrality,meanClosenessCentrality,meanRelativeSpeed,nwLength,evolution$samples,bioThreshold,nwDiameter,bioSteps,meanBwCentrality,nwSize,densityConf,nwLength,meanPathLength,maxNewLinksNumber,replication,meanRelativeSpeed,meanClosenessCentrality
5500,8.787718803979693,39,0.4,56.06699917734285,1.1712603690933485,0.5758874580592434,0.038796543468090375,0.03357879802315214,0.798059639097104,835.2994429889346,1,"[0.4]","[1.1712603690933485]","[56.06699917734285]","[0.038796543468090375]","[200.0]","[39]","[835.2994429889346]","[0.5758874580592434]","[8.787718803979693]","[281615788]","[0.798059639097104]","[0.03357879802315214]"
5500,7.095650294777931,6,0.4,49.54640743676536,0.9694347739540503,0.49757808195521525,0.030304571971238637,0.014028399314574308,0.786967151300978,954.4081389952256,1,"[0.4]","[0.9694347739540503]","[49.54640743676536]","[0.030304571971238637]","[265.0]","[6]","[954.4081389952256]","[0.49757808195521525]","[7.095650294777931]","[1745311492]","[0.786967151300978]","[0.014028399314574308]"
5500,4.020592698074307,49,0.4993261104180867,88.04764906704645,1.0547507737795017,0.48047260674273745,0.04973809523809524,0.02659152362716789,0.8132934669116437,596.4746818355499,1,"[0.4993261104180867]","[1.0547507737795017]","[88.04764906704645]","[0.04973809523809524]","[122.0]","[49]","[596.4746818355499]","[0.48047260674273745]","[4.020592698074307]","[861072899]","[0.8132934669116437]","[0.02659152362716789]"
5500,8.155211306689747,39,0.5618685035766138,40.0,1.2933544378368904,0.5606579067161034,0.030496398371437517,0.03390922970798173,0.8189623716294846,774.2596613089834,1,"[0.5618685035766138]","[1.2933544378368904]","[40.0]","[0.030496398371437517]","[151.0]","[39]","[774.2596613089834]","[0.5606579067161034]","[8.155211306689747]","[-2094875512]","[0.8189623716294846]","[0.03390922970798173]"
5500,6.092258647266613,29,0.5213561303122822,86.99765822083737,1.299046837971591,0.5464830194574282,0.05690018426855022,0.03349818367684135,0.7759759099778692,525.0390378500177,2,"[0.5213561303122822,0.5213561303122822]","[1.1301214011763498,1.4679722747668318]","[86.99765822083737,86.99765822083737]","[0.052476326725253764,0.06132404181184668]","[141.0,100.0]","[29,29]","[592.8784340138848,457.19964168615076]","[0.5363450612397836,0.5566209776750727]","[6.092258647266613,6.092258647266613]","[464663381,1040675615]","[0.8058272506669655,0.746124569288773]","[0.02665556008806609,0.04034080726561661]"
5500,5.944533849083462,44,0.5537858538880811,88.87671396854664,1.4002265564490313,0.5566049544946169,0.04388256531113674,0.0219642864802764,0.7247502991552488,687.6332970080632,1,"[0.5537858538880811]","[1.4002265564490313]","[88.87671396854664]","[0.04388256531113674]","[149.0]","[44]","[687.6332970080632]","[0.5566049544946169]","[5.944533849083462]","[832550285]","[0.7247502991552488]","[0.0219642864802764]"
5500,4.084673682563905,42,0.514091729198537,97.05610374481086,1.190378250982833,0.5053524066311201,0.04993564993564994,0.030510571957884702,0.7783217159912129,567.3801932911849,1,"[0.514091729198537]","[1.190378250982833]","[97.05610374481086]","[0.04993564993564994]","[117.0]","[42]","[567.3801932911849]","[0.5053524066311201]","[4.084673682563905]","[-1180675006]","[0.7783217159912129]","[0.030510571957884702]"
5500,7.957132212310173,39,0.5836124222033371,45.133529614621196,1.2577808620218645,0.5707746612059333,0.03600212089077413,0.0497239962499619,0.8055722499674608,607.9511933878312,1,"[0.5836124222033371]","[1.2577808620218645]","[45.133529614621196]","[0.03600212089077413]","[112.0]","[39]","[607.9511933878312]","[0.5707746612059333]","[7.957132212310173]","[-499806951]","[0.8055722499674608]","[0.0497239962499619]"
5500,6.930475277598502,42,0.517048681539421,40.87806277741748,1.671970111784762,0.5262775614522084,0.05089011663597299,0.040969835040175956,0.7562963627608981,527.6536503411277,1,"[0.517048681539421]","[1.671970111784762]","[40.87806277741748]","[0.05089011663597299]","[109.0]","[42]","[527.6536503411277]","[0.5262775614522084]","[6.930475277598502]","[1251736848]","[0.7562963627608981]","[0.040969835040175956]"
5500,9.192145199560454,8,0.6,96.0628286882274,1.2266847018800382,0.47691591370239494,0.04310441589130114,0.040438728155419365,0.7622197083381079,609.6006986531097,1,"[0.6]","[1.2266847018800382]","[96.0628286882274]","[0.04310441589130114]","[113.0]","[8]","[609.6006986531097]","[0.47691591370239494]","[9.192145199560454]","[1003740746]","[0.7622197083381079]","[0.040438728155419365]"
