evolution$generation,maxNewLinksNumber,densityConf,nwDiameter,meanPathLength,meanBwCentrality,meanClosenessCentrality,meanRelativeSpeed,nwLength,evolution$samples,nwDiameter,meanBwCentrality,nwSize,densityConf,nwLength,meanPathLength,maxNewLinksNumber,replication,meanRelativeSpeed,meanClosenessCentrality
10000,3.5405667377355377,20,1.5629154616456877,0.49119969035755673,0.04174095112884716,0.03679927808676361,0.7487008702576117,739.6437362933221,1,"[1.5629154616456877]","[0.04174095112884716]","[249.0]","[20]","[739.6437362933221]","[0.49119969035755673]","[3.5405667377355377]","[-182077955]","[0.7487008702576117]","[0.03679927808676361]"
10000,6.199133237520695,41,1.108952574496012,0.4479075140717202,0.033786581483949904,0.021945778896287366,0.7933907209697939,970.2901281119306,1,"[1.108952574496012]","[0.033786581483949904]","[296.0]","[41]","[970.2901281119306]","[0.4479075140717202]","[6.199133237520695]","[-943874151]","[0.7933907209697939]","[0.021945778896287366]"
10000,9.58045542825862,38,1.0882413687911596,0.4140806225704014,0.03789217713934744,0.04606673573766946,0.8466422085067976,842.2243651952506,1,"[1.0882413687911596]","[0.03789217713934744]","[203.0]","[38]","[842.2243651952506]","[0.4140806225704014]","[9.58045542825862]","[-1682803547]","[0.8466422085067976]","[0.04606673573766946]"
10000,7.129032131191087,7,1.1237552114239828,0.38949475919339327,0.034343427526853806,0.051124256931023834,0.8524097271104207,784.7789189897144,2,"[0.8906376164046119,1.356872806443354]","[0.03451743502677289,0.03416942002693473]","[247.0,253.0]","[7,7]","[751.6487098693165,817.9091281101124]","[0.35303286656581095,0.42595665182097564]","[7.129032131191087,7.129032131191087]","[-358782162,-1754511182]","[0.8752008920883134,0.829618562132528]","[0.07086497599361886,0.03138353786842881]"
10000,6.614414634126887,8,1.1401918729722877,0.32331731651299483,0.036542040263914735,0.06352003319770097,0.8700127382992815,721.1608087651201,1,"[1.1401918729722877]","[0.036542040263914735]","[257.0]","[8]","[721.1608087651201]","[0.32331731651299483]","[6.614414634126887]","[-670697894]","[0.8700127382992815]","[0.06352003319770097]"
10000,5.791072278007807,41,1.1792785780967903,0.47465064863504386,0.03547736914876874,0.022365406908507496,0.7887319106648005,938.2482598842523,1,"[1.1792785780967903]","[0.03547736914876874]","[286.0]","[41]","[938.2482598842523]","[0.47465064863504386]","[5.791072278007807]","[1721388957]","[0.7887319106648005]","[0.022365406908507496]"
10000,5.204480690468903,31,1.2557780039698678,0.3479672131400225,0.033464858842201455,0.052009602036886024,0.8896741093914059,729.7916462214638,1,"[1.2557780039698678]","[0.033464858842201455]","[224.0]","[31]","[729.7916462214638]","[0.3479672131400225]","[5.204480690468903]","[1386998554]","[0.8896741093914059]","[0.052009602036886024]"
10000,5.991566005939271,28,1.0852558771049408,0.37625987529476157,0.03815741727329866,0.08260040062527053,0.7967155004684059,668.604696786664,1,"[1.0852558771049408]","[0.03815741727329866]","[239.0]","[28]","[668.604696786664]","[0.37625987529476157]","[5.991566005939271]","[1038428248]","[0.7967155004684059]","[0.08260040062527053]"
10000,5.820323073421844,19,1.325475089983628,0.3994189323168674,0.04095532442867765,0.03504990032390054,0.8237342253460783,744.5102321783597,1,"[1.325475089983628]","[0.04095532442867765]","[225.0]","[19]","[744.5102321783597]","[0.3994189323168674]","[5.820323073421844]","[1280320385]","[0.8237342253460783]","[0.03504990032390054]"
10000,5.473350172127656,20,1.1674845130569058,0.42587804458875417,0.03763101842756057,0.34397372663901965,0.8049752257121767,782.9171808875569,1,"[1.1674845130569058]","[0.03763101842756057]","[237.0]","[20]","[782.9171808875569]","[0.42587804458875417]","[5.473350172127656]","[2126562917]","[0.8049752257121767]","[0.34397372663901965]"
