evolution$generation,evolution$evaluated,maxNewLinksNumber,densityConf,costTradeoff,nwDiameter,meanPathLength,meanBwCentrality,meanClosenessCentrality,meanRelativeSpeed,nwLength,evolution$samples,nwDiameter,meanBwCentrality,densityConf,nwLength,meanPathLength,nwSize,costTradeoff,maxNewLinksNumber,replication,meanRelativeSpeed,meanClosenessCentrality
1000,1000,20.0,39,0.02350599361054144,1.8757350214604622,0.8518442119512588,0.0374430709173715,0.10514357951472361,0.6567002573594412,685.9887151961163,1,"[1.8757350214604622]","[0.0374430709173715]","[39]","[685.9887151961163]","[0.8518442119512588]","[91.0]","[0.02350599361054144]","[20.0]","[-409574228]","[0.6567002573594412]","[0.10514357951472361]"
1000,1000,16.22582329979517,28,0.027512995175795415,1.3760667002954323,0.528006909208235,0.06253367207547651,0.038551280273458284,0.7209413927409127,456.93016385456076,1,"[1.3760667002954323]","[0.06253367207547651]","[28]","[456.93016385456076]","[0.528006909208235]","[101.0]","[0.027512995175795415]","[16.22582329979517]","[-763378855]","[0.7209413927409127]","[0.038551280273458284]"
1000,1000,12.617896923507148,9,0.049454107763549304,1.8991930785942903,0.7843719635472524,0.10056106080002529,0.030503708944179562,0.5436787752535152,422.2369465328315,1,"[1.8991930785942903]","[0.10056106080002529]","[9]","[422.2369465328315]","[0.7843719635472524]","[100.0]","[0.049454107763549304]","[12.617896923507148]","[1808260746]","[0.5436787752535152]","[0.030503708944179562]"
1000,1000,5.7841948225018225,22,0.04960099105079661,1.968511127542777,0.7283696129445107,0.09619517221077421,0.025406071620908077,0.5504480781738192,406.79669858631354,1,"[1.968511127542777]","[0.09619517221077421]","[22]","[406.79669858631354]","[0.7283696129445107]","[109.0]","[0.04960099105079661]","[5.7841948225018225]","[592040684]","[0.5504480781738192]","[0.025406071620908077]"
1000,1000,12.808888233726554,27,0.03976657072720208,2.049795884228707,0.7729613705880085,0.08091379527956583,0.0240425536083766,0.5543278215945395,462.1156099871463,1,"[2.049795884228707]","[0.08091379527956583]","[27]","[462.1156099871463]","[0.7729613705880085]","[107.0]","[0.03976657072720208]","[12.808888233726554]","[1141344173]","[0.5543278215945395]","[0.0240425536083766]"
1000,1000,4.002086883237607,48,0.032874595597030154,1.5999787974426463,0.6795908492076721,0.0945882111358157,0.024344893508971923,0.6154958096293807,383.19802568459784,2,"[1.6687514339880654,1.5312061608972274]","[0.09472710453283996,0.09444931773879142]","[48,48]","[397.0603704835882,369.3356808856074]","[0.6899350454101095,0.6692466530052348]","[123.0,120.0]","[0.032874595597030154,0.032874595597030154]","[4.002086883237607,4.002086883237607]","[-1273876516,-1058334316]","[0.6139976916570697,0.6169939276016916]","[0.022882376529508103,0.025807410488435743]"
1000,1000,13.022264847094993,16,0.04073396390390008,1.984009265450952,0.7004946590005167,0.06978855047891275,0.030365424351985512,0.6516210058416704,473.93582250309356,1,"[1.984009265450952]","[0.06978855047891275]","[16]","[473.93582250309356]","[0.7004946590005167]","[108.0]","[0.04073396390390008]","[13.022264847094993]","[-1946074220]","[0.6516210058416704]","[0.030365424351985512]"
1000,1000,4.0,21,0.008253153315155281,1.6753944115054298,0.6864637662069993,0.10192406692406693,0.02688983610367336,0.5973445516015479,375.75693394815784,1,"[1.6753944115054298]","[0.10192406692406693]","[21]","[375.75693394815784]","[0.6864637662069993]","[102.0]","[0.008253153315155281]","[4.0]","[988595729]","[0.5973445516015479]","[0.02688983610367336]"
1000,1000,4.0,7,0.009855146983828562,1.427274058158355,0.6483020691257313,0.0904704238472287,0.029351252669631445,0.6241367170632883,347.69876439736987,1,"[1.427274058158355]","[0.0904704238472287]","[7]","[347.69876439736987]","[0.6483020691257313]","[102.0]","[0.009855146983828562]","[4.0]","[-1760474929]","[0.6241367170632883]","[0.029351252669631445]"
1000,1000,20.0,4,0.030734785820934182,1.6095131971484125,0.703351138603628,0.06819890773210693,0.029863305850609673,0.6134395221354921,539.3670840481313,1,"[1.6095131971484125]","[0.06819890773210693]","[4]","[539.3670840481313]","[0.703351138603628]","[118.0]","[0.030734785820934182]","[20.0]","[-169699409]","[0.6134395221354921]","[0.029863305850609673]"
1000,1000,20.0,44,0.041706111726341095,1.4399217103572337,0.6581802797196405,0.06748637606604442,0.026493423446741566,0.6511554086722815,585.3430093396297,1,"[1.4399217103572337]","[0.06748637606604442]","[44]","[585.3430093396297]","[0.6581802797196405]","[115.0]","[0.041706111726341095]","[20.0]","[-1862954552]","[0.6511554086722815]","[0.026493423446741566]"
