evolution$generation,evolution$evaluated,maxNewLinksNumber,densityConf,costTradeoff,nwDiameter,meanPathLength,meanBwCentrality,meanClosenessCentrality,meanRelativeSpeed,nwLength,evolution$samples,nwDiameter,meanBwCentrality,densityConf,nwLength,meanPathLength,nwSize,costTradeoff,maxNewLinksNumber,replication,meanRelativeSpeed,meanClosenessCentrality
500,500,16.22582329979517,28,0.027512995175795415,1.3760667002954323,0.528006909208235,0.06253367207547651,0.038551280273458284,0.7209413927409127,456.93016385456076,1,"[1.3760667002954323]","[0.06253367207547651]","[28]","[456.93016385456076]","[0.528006909208235]","[101.0]","[0.027512995175795415]","[16.22582329979517]","[-763378855]","[0.7209413927409127]","[0.038551280273458284]"
500,500,13.022264847094993,16,0.04073396390390008,1.984009265450952,0.7004946590005167,0.06978855047891275,0.030365424351985512,0.6516210058416704,473.93582250309356,1,"[1.984009265450952]","[0.06978855047891275]","[16]","[473.93582250309356]","[0.7004946590005167]","[108.0]","[0.04073396390390008]","[13.022264847094993]","[-1946074220]","[0.6516210058416704]","[0.030365424351985512]"
500,500,4.0,21,0.008253153315155281,1.6753944115054298,0.6864637662069993,0.10192406692406693,0.02688983610367336,0.5973445516015479,375.75693394815784,1,"[1.6753944115054298]","[0.10192406692406693]","[21]","[375.75693394815784]","[0.6864637662069993]","[102.0]","[0.008253153315155281]","[4.0]","[988595729]","[0.5973445516015479]","[0.02688983610367336]"
500,500,4.0,7,0.009855146983828562,1.427274058158355,0.6483020691257313,0.0904704238472287,0.029351252669631445,0.6241367170632883,347.69876439736987,1,"[1.427274058158355]","[0.0904704238472287]","[7]","[347.69876439736987]","[0.6483020691257313]","[102.0]","[0.009855146983828562]","[4.0]","[-1760474929]","[0.6241367170632883]","[0.029351252669631445]"
500,500,20.0,1,0.017695247179093914,1.4842629915734462,0.6061318621170451,0.065219509343518,0.03072268313675559,0.651249595558284,542.0625434954438,1,"[1.4842629915734462]","[0.065219509343518]","[1]","[542.0625434954438]","[0.6061318621170451]","[110.0]","[0.017695247179093914]","[20.0]","[1397559425]","[0.651249595558284]","[0.03072268313675559]"
500,500,20.0,4,0.030734785820934182,1.6095131971484125,0.703351138603628,0.06819890773210693,0.029863305850609673,0.6134395221354921,539.3670840481313,1,"[1.6095131971484125]","[0.06819890773210693]","[4]","[539.3670840481313]","[0.703351138603628]","[118.0]","[0.030734785820934182]","[20.0]","[-169699409]","[0.6134395221354921]","[0.029863305850609673]"
500,500,20.0,44,0.041706111726341095,1.4399217103572337,0.6581802797196405,0.06748637606604442,0.026493423446741566,0.6511554086722815,585.3430093396297,1,"[1.4399217103572337]","[0.06748637606604442]","[44]","[585.3430093396297]","[0.6581802797196405]","[115.0]","[0.041706111726341095]","[20.0]","[-1862954552]","[0.6511554086722815]","[0.026493423446741566]"
500,500,5.967113024284779,37,0.03842034930881101,2.176682940315588,0.8191226062464384,0.09787460946887767,0.01941121634381066,0.5520157981705975,463.94306993696165,1,"[2.176682940315588]","[0.09787460946887767]","[37]","[463.94306993696165]","[0.8191226062464384]","[126.0]","[0.03842034930881101]","[5.967113024284779]","[-1033484538]","[0.5520157981705975]","[0.01941121634381066]"
500,500,6.407555819974616,37,0.03725124945775041,1.9249265844640933,0.8245593120492154,0.10149415204678362,0.025750781167159023,0.5534069730603794,381.3311045161271,1,"[1.9249265844640933]","[0.10149415204678362]","[37]","[381.3311045161271]","[0.8245593120492154]","[104.0]","[0.03725124945775041]","[6.407555819974616]","[-2086163662]","[0.5534069730603794]","[0.025750781167159023]"
500,500,17.676436102529866,20,0.02075842739585614,1.5659971618766317,0.5741256708886463,0.06613902607699454,0.033298696174937324,0.6768748113079648,469.1493217625963,1,"[1.5659971618766317]","[0.06613902607699454]","[20]","[469.1493217625963]","[0.5741256708886463]","[109.0]","[0.02075842739585614]","[17.676436102529866]","[-1019823346]","[0.6768748113079648]","[0.033298696174937324]"
500,500,11.335549530864322,28,0.03398282160653804,1.604132844300214,0.5409926441329941,0.08267312088207611,0.035293638731562556,0.6897110400998202,374.5491708554658,1,"[1.604132844300214]","[0.08267312088207611]","[28]","[374.5491708554658]","[0.5409926441329941]","[104.0]","[0.03398282160653804]","[11.335549530864322]","[-1483778905]","[0.6897110400998202]","[0.035293638731562556]"
500,500,5.974284152603815,11,0.040030958963801246,1.7162931696957338,0.7300011880402133,0.11295029239766083,0.023575540067624332,0.5767121291134536,405.62492790183194,1,"[1.7162931696957338]","[0.11295029239766083]","[11]","[405.62492790183194]","[0.7300011880402133]","[108.0]","[0.040030958963801246]","[5.974284152603815]","[-1096292671]","[0.5767121291134536]","[0.023575540067624332]"
500,500,5.768811534613228,13,0.02882812061479817,1.9964536848430305,0.8342649907203482,0.09836943549349564,0.019617917570678215,0.5280509885446372,451.08118839881865,1,"[1.9964536848430305]","[0.09836943549349564]","[13]","[451.08118839881865]","[0.8342649907203482]","[128.0]","[0.02882812061479817]","[5.768811534613228]","[359369758]","[0.5280509885446372]","[0.019617917570678215]"
